"TITLE","AUTHOR","EDITION"
Murder in Hawaii,Allen Steve,"0"
Murder in Montparnasse A Literariy Mystery of Paris,Engel Howard,"0"
Murder on The Orient Express,Christie Agatha,"0"
Murder on the Links,Christie Agatha,"0"
Music at Quaker Valley,Burris Jack,"0"
Mustangs Last Ride,Valentine Bill,"0"
My Country,Ames Merlin M & Ames Jesse H & Ousley Odille,"0"
My Friend Flicka,OHara Mary,"0"
My Job as a Father and What My Father Did for Me,Guest Edgar A,"0"
My Symphony,Channing Wm Henry,"0"
My Turn The Memoirs of Nancy Reagan,Novak William,"0"
My War,Rooney Andy,"0"
Mystery of Edwin Drood, Dickens Charles,"4.0"
Mysteryi Magazine,Queens Ellery,"0"
N By E,Kent Rockwell,"0"
NA 1 Looking North,Stewart George R,"0"
Naked Villainy,Woods Sara,"0"
Nancy Drew and The Hardy Boys Super Sleuths,Keene Carolyn & Dixon Franklin W,"0"
Nascar Greatest Races: The 25 Most Thrilling Races in Nascar History,Higgins Tom,"0"
National Parks of the World in Color,Harroy Franco Tassi Fulco Pratesi  Christopher Humphries,"0"
Native Plants for Calif Gardens,Lenz Lee W,"0"
Native Son,Wright Richard,"1.0"
Nature Practice & History,Magonigle H Van Buren,"0"
Near and Far,Smith Nila Banton,"0"
Necessity,Garfield Brian,"0"
Needlepoint for Everyone,Picken Mary Brooks & Doris White,"0"
Nevada Ghost Towns,Florin Lambert,"0"
Nevada Official Bicentennial Book,Paher Stanley W,"0"
Nevada Towns & Tales,Paher Stanley W,"0"
Never in Her Wildest Dreams,Bumann Joan & Patterson John,"0"
New Century World Atlas,Hammond Inc,"0"
New College Standard Dictionary,Funk Charles Earle LttD,"0"
New Industrial State,Galbraith John Kenneth,"0"
New Leica Manual,Morgan Willard D & Henry M Lester,"0"
Night Shade and Night Smoke,Roberts Nora,"0"
Night Sky,Francis Clare,"0"
Nightwing,Smith Martin Cruz,"0"
Nine Coaches Waiting,Stewart Mary,"0"
No Time for Sergeants,Hyman Mac,"0"
Nobody Roots for Goliath,Champion David,"0"
Nursery Tales,Taylor Frances Lillian,"0"
OHarras Handbook of the Black Hills,OHarra Cleophas C,"0"
Oakhurst,Johnson Walter Reed,"1.0"
Obstetrics for Nurses,DeLee Joseph B MD,"0"
Official Price Guide to Old Books: 3rd Ed,Tedford Marie & Goudey Pat,"0"
Old Russian Stories,Gogol,"0"
Old and New Testament Stories,Bible Stories,"0"
Oliver Twist,Dickens Charles,"0"
On Wings of Eagles,Follett Ken,"0"
Once Upon a Time,Rackham Arthur,"0"
One Hundred Years Ago in Nevada,Taylor Jock,"0"
One Life,Barnard Christiaaan,"0"
One More Sunday,Mac Donald John D,"0"
Onegai Teacher,Shizuru Hayashiya,"0"
Original Sin,James P D,"0"
Our Government,Macy Jesse AM,"0"
Our State Nevada,Mack Effie Mona PhD & Sawyer Byrd Wall MA,"0"
Outlaw Justice,Pendleton Ford,"0"
Over the Hill But Not Out to Lunch,Kahn Jr Lloyd,"0"
Paint Gold and Blood,Gilbert Michael,"0"
Palmer Coxs Fairy Tales,Cox Palmer,"0"
Pamela,Richardson Samuel,"0"
Panaroma: A Picture History of Southern California,Robinson W W,"0"
Paradise Kiss 2,Yazawa Ai,"0"
Paradise Kiss 3,Yazawa Ai,"0"
Peel Off the Pounds,Prevention Health Books,"0"
Penrod and Sam,Tarkington Booth,"0"
Perennials,Crockett James Underwood,"0"
Personal Typewriting,Wanous S J And Haggblade Berle,"0"
Personal Typewriting for Jr H S,Wanous S J & Haggblade Berle,"0"
Personmal Injuries,Turow Scott,"0"
Pery Mason Omnibus - Three Books,Gardner Earl Stanley,"0"
Pests and Diseases,Cravens Richard H,"0"
Peter Pan and Wendy,Barrie J M,"0"
Philosophy for Pleasure,Hawton Hector,"0"
Photography Its Princi;les and Practive,Neblette C B  FRPS,"0"
Piccino and Other Child Stories,Burnett Frances Hodgson,"0"
Pictorial Astronomy,Alter Dinsmore PhD SC D,"0"
Picture World November 1942,Howland V Huntington,"0"
Pinocchio,Disney Walt,"0"
Pinocchio,Grimee Nikkt,"0"
Plane Geometry Suggested Method,Shutts George C,"0"
Plane and Solid Geometry,Hart C A & Feldman Daniel D,"0"
Pm Deatj Amd Dying,Kubler-Ross Elisabetj,"0"
Poirot Loses a Client,Christie Agatha,"0"
Polly Whats Her Name,Sherman Edith Bishop,"0"
Poor Richards Almanac,Heritage of America Library,"0"
Postern of Fate,Christie Agatha,"0"
Potomac Fever,Horrock Henry,"0"
Prayers for Children,Reed Mary,"0"
Puppy Lost in Lapland,Hallard Peter,"0"
Pushing Murder,Boylan Eleanor,"0"
"Q"" is for Quarry""",Grafton Sue,"0"
Quick Books 400 for Windows,Comp USA Computer Training,"0"
Quickbooks 40 For Windows,Comp USA Computer Training,"0"
Quicken 50 For Windows,Comp USA Computer Training,"0"
Quote the Raven,Fischer Bruno,"0"
RH,Potter Edith L MD PhD,"0"
Rage of Angels,Sheldon Sidney,"0"
Railroads The Great American Adventure,Ogburn Charlton,"0"
Railroads of Nevada & Eastern California Vol 1,Myrick David F,"0"
Railroads of Nevada and Eastern California Vol2,Myrick David F,"0"
Railroads of Today,Farrington S Kip Jr,"0"
Railroads the Great American Adventure,Ogburn Charlton,"0"
Raise the Titanic,Cussler Clive,"0"
Reap the Wind,Johansen Iris,"0"
Redwood Country,Iacopi Robert,"0"
Redwood Country,Iocopi Robert,"0"
Regional Geology of the Steamboat Springs Area,Thompson G A & White D E,"0"
Reminiscences General of the Army Douglas MacArthur,MacArthur Douglas,"1.0"
Revenue Reconciliation Act of 1993,The RIA Complete Analysis,"0"
Riley Child-Rhymes,Riley James Whitcomb,"0"
Ritual Murder,Haymon S T,"0"
Road Atlas,Sunset Books,"0"
Robin Hood,Gilbert Henry,"0"
Robinson Crusoe,DeFoe Daniel,"0"
Rockwells New Complete Book of Flower Arrangement,Rockwell FF & Grayson Esther C,"0"
Rosas Dilemna,Underwood Michael,"0"
Roses Roses,James Bill,"0"
Roy Rogers and the Enchanted Canyon,Rivers Jim,"0"
Ruling Class,Felten Eric,"0"
Rush to Judgment,Lane Mark,"0"
Sadie Brower Neakok and Inuping Woman,Blackman Margeret B,"0"
Sadie Shapiros Knittting Book,Smith Robert Kimmel,"0"
Salems Lot,King Stephen,"0"
Salute Me!,Bristol Lieutenant George,"0"
Sand and Foam,Garrison Paul,"0"
Saratoga Fleshpot,Dobyns Stephen,"0"
Satans Fire,Doherty P C,"0"
Saving Faith,Baldacci David,"0"
Science in Your Own Back Yard,Cooper Elizabeth K,"0"
Scientists Behind the Inventors,Burlingame Roger,"0"
Scrooges Silly Day,Disney Walt,"0"
Sea Kings and Naval Heroes,James Hartwell,"0"
Search for a Soul,Stearn Jess,"0"
Selected Speeches for Practice,Kline R E Pattison,"0"
Selected Speeches for Practice,R E Pattison Kline,"0"
Selling By Attraction,Johnson Hilton,"0"
Sequoia,Hoyt Vance Joseph,"0"
Serious Intent,Yorke Margaret,"0"
Serpico,Maas Perter,"0"
Seven Days in May,Knebel Fletcher & Bailey Charles W II,"1.0"
Sex Problems as related to Health,Williams Evangelist M B,"0"
Sex Without Fear,Lewin S A MD & Gilmore John PhD,"0"
Shadows in Their Blood,Babson Marian,"0"
Shakespeare for Young People,Shakespeare William,"0"
Shelll Game,OConnell Carol,"0"
Shes Come Undone,Lamb Wally,"0"
Shogun,Clavell James,"0"
Siddhartha,Hesse Herman,"0"
Sideswiipe,Willeford Charles,"0"
Sierra,Siebert Diane,"0"
Silas Marner,Eliot Georgge,"0"
Sir Roger De Coverley The Vicar of Wakefield and the Murder at the Vicarage,Goldsmith Oliver & Mackenzie Henry,"0"
Six Practical Lessons for an Easier Childbirth,Bing Elisabeth,"0"
Skinwalkers,Hillerman Tony,"0"
Sleep No More,Iles Greg,"0"
Sleeping Beauty,Disney Walt,"0"
Sleeping Murder and the Murder at the Vicarage,Christie Agatha,"0"
Sllam the Big Door,MacDonald John D,"0"
Snow White and the Seven Dwarfs,Disney Walt,"0"
Snow White and the Seven Dwarfs,Margulies Teddy Slater,"0"
Snow White and the seven Dwarfs,Disney Walt,"0"
So Many Steps to Death,Christie Agatha,"0"
Solar Science Projects,Halacy D S Jr,"0"
Solid Geometry,Beman Wooster Woodruff and David Eugene Smith,"0"
Solved,Gorman Ed & Greenberg Martin H,"0"
Someone Cares,Rice Helen Steiner,"0"
Something Wicked This Way Comes,Bradbury Ray,"0"
Something Wonderful,McNaught Judith,"0"
Song of a Dark Angel,Doherty P C,"0"
Souhern Pacific the Roaring Story of a Fighting Railroad,Wilson Neill C & Taylor Frank J,"0"
Sour Grapes,Cooper Natasha,"0"
Soviet Sources,Cullen Robert,"0"
Spanish A Concept Approach,Da Silva Zenia Sacks,"0"
Spanish First Year,Newmark Maxim,"0"
Speak of the Devil,Hitchcock Alfred,"0"
Speedwriting Shorthand,Sheff Alexander,"0"
Speedwriting Shorthand # 2,Sheff Alexander,"0"
Speedwriting Shorthand #3,Sheff Alexander,"0"
Speedwritng Short Hand Dictation Course,Sheff Alexander,"0"
Sphinx,Cook Robin,"0"
Spy Sinker,Deighton Len,"0"
Star Book of 100 Edgings,Vanek Cecilia,"0"
Star Trek Star Fleet Technical Manuel,Joseph Franz,"0"
Starr Bright Will be with You Soon,Oates Joyce Carol writing as Rosamond Smith,"0"
Starring Sally J Freedman As Herself,Blume Judy,"0"
Step to the Music,Whitney Phylis A,"0"
Stitches in Time,Michaels Barbara,"0"
Stories Form the Peterkin Papers,Hale Lucretia,"0"
Stories Not for the Nervous,Hitchcock Alfred,"0"
Stories from The Peterkin Papers,Hale Ludretia P,"0"
Stories of the Olden Time,Johonnot James,"0"
Story of Robin Hood,Disney Walt,"0"
Straight,Francis Dick,"0"
Suddenly a Widow,Coxe George Harmon,"0"
Sue Barton Student Nurse,Boylston Helen Dore,"0"
Sunset Barbecue Book,Sunset Books,"0"
Superstitious? Heres Why!,Batchelor Julie Forsyth & De Lys Claudia,"0"
Susies New Stove,Bedford Annie North,"0"
Sweet Promised Land,Laxalt Robert,"0"
Synonyms Antonyms and Prepositions,Fernald James C LHD,"0"
THE FACE IN THE FROST,Bellairs John,"0"
THe Crystal Cave,Stewart Mary,"0"
Tahoe Todaly,Editor-Barboni-Seppa Stephanie,"0"
Tahoe Today,Barboni-Seppa Stephanie,"0"
Tales from the Secret Annex,Frank Anne,"0"
Tales of Alaska and the Yukon,Oppel Frank,"0"
Tales of Edgar Allen Poe,Allen Hervey,"0"
Tales of Secret Egypt,Rohmer Sax,"0"
Tales of the Cthulhu Mythos,Lovecraft and Others,"0"
Talking God,Hillerman Tony,"0"
Tanner on Ice,Block Lawrence,"0"
Taps for Private Tussie,Stuart Jesse,"0"
Taste of the Sublime,Burke Edmund,"0"
Telecult Power: The AMazing New Way to Psychic and Occult Wonders,Dubin Reese P,"0"
Ten Perfect Crimes,Sterling Hank,"0"
Terence ORourke Gentleman Adventurer,Vance Louis Joseph,"0"
Terror By Night,Hurwood Bernhardt J,"0"
That Printer of Udels a Story of the Middle West,Wright Harold Bell,"0"
That Something,Woodbridge W W,"11.0"
The 100 Hottest Products and Information Guide,Richdale Brad,"0"
The 13th Juror,Lescroart John,"0"
The Age of Adventure,De Santillana Giorgio,"0"
The Age of Reason,Hampshire Stuart,"0"
The Alphabet Book,Eastman P D,"0"
The Aluminum Hatch,Weber Robert,"0"
The Amazing Mrs Polifax,Gilman Dorothy,"0"
The American Educator Encyclopedia,Gillet Harry Orrin BS,"0"
The American Flag,Hancock John,"0"
The American Heritage Cookbook,Heritage of America Library,"0"
The Americans,Jakes John,"1.0"
The Ancient World,Glover T R,"0"
The Aquitaine Progression,Ludlum Robert,"0"
The Arabian Nights Entertainments,Rhead Louis,"0"
The Art of Living Single,Broder PHD,"0"
The Bad Detective,Keating H R F,"0"
The Bad News Man,McMullen Mary,"0"
The Bad Samaritan,Barnard Robert,"0"
The Bad-News Man,McMullen Mary,"0"
The Bag Im Taking to Grandmas,Neitzel Shirley,"0"
The Bawdy Bedside Reader,Hart Harold H,"0"
The Beauties of Friendship,Woolard Samuel Francis,"0"
The Berlitz Self Teacher: Spanish,Berlitz Charles F,"0"
The Bermuda Triangle,Jeffrey Adi-Kent Thomas,"0"
The Best of Clarence Day,Day Clarence,"0"
The Best of Life,Life Magazine,"0"
The Big Broadcast 1920-1950,Buxton Frank & Owen Bill,"0"
The Big Spenders,Beebe Lucius,"0"
The Blind Assassin,Atwood Margaret,"0"
The Bobbee Twins Own Little Railroad,Hope Laura Lee,"0"
The Bobbsey Twins Wonderful Secret,Hope Laura Lee,"0"
The Bobbsey Twins in Tulip Land,Hope Laura Lee,"0"
The Bobbsey Twins in a Houseboat,Hope Laura Lee,"0"
The Book Of the American West,Monaghan Jay,"0"
The Book of Wonder,Dunsany Lord,"0"
The Broken Seal,Farago Ladislas,"0"
The Brownies and Prince Florimel,Cox Palmer,"0"
The Brownies: Their Book,Cox Palmer,"0"
The Burglar Who Painted Like Mondrian,Block Lawrence,"0"
The Burglar in the Rye,Block Lawrence,"0"
The Burnished Bladee,Schoonover Lawrence,"0"
The Caine Mutiny,Wouk Herman,"0"
The Call of the Wild,London Jack,"0"
"The Canary"" Murder Case""",Dine SS Van,"0"
"The Canary"" Murder Case""",Van Dine SS,"0"
The Cardinal Sins,Greeley Andrew,"1.0"
The Case of Barbara Graham,Walker Bill,"0"
The Case of the Beautiful Beggar,Gardner Earl Stanley,"0"
The Case of the Haunted Husband,Gardner Earl Stanley,"0"
The Case of the Horrified Heirs,Gardner Earl Stanley,"0"
The Case of the Phantom Fortune,Gardner Earl Stanley,"0"
The Case of the Queenly Contestant, Gardner Earl Stanley,"0"
The Case of the Troubled Trustee,Gardner Earl Stanley,"0"
The Case of the Worried Waitress,Gardner Earl Stanley,"0"
The Cat Who Played Post Office,Braun Lillian Jackson,"0"
The Cat Who Said Cheese,Braun Lilian Jackson,"0"
The Cat Who Saw Stars,Braun Lillian Jackson,"0"
The Cat Who Smelled a Rat,Braun Lillian Jackson,"0"
The Cat in the Hat,Dr Seuss,"0"
The Cat in the Hat Comes Back,Dr Seuss,"0"
The Central Pacific & the Southern Pacific Railroads,Beebe Lucius,"0"
The Chatterbox Book of Soldiers and Sailors,Robinson Anna,"0"
The Childrens Own Longfellow,Mifflin Houghton,"0"
The Childrens Reader,Cyr Ellen M,"0"
The Childrens Third Reade,Cyr Ellen M,"0"
The China Year Book 1921-2,Woodhead H G W,"0"
The Clan of the Cave Bear,Auel Jean M,"0"
The Cold Day,World Book,"0"
The Collected Ghost Stories,James M R,"1.0"
The Collectors Encyclopedia Gems Minerals Crystals & Ores,Pearl Richard M,"0"
The Complete Book of Doll Collecting,Young Helen,"0"
The Confession of Brother Haluin,Peters Ellis,"0"
The Confessions of Harry Lorrequer,Lever Charles,"0"
The Constitution of the United States,Norton Thomas James,"0"
The Crucial Decade,Goldman Eric F,"0"
The Cruel Sea,Monsarrat Nicholas,"0"
The Dancing Savior,Hunter David,"0"
The Devils Hunt,Doherty P C,"0"
The Devils Novice,Peters Ellis,"0"
The Devils Triangle,Winer Richard,"0"
The Dionne Quintuplets Growing Up,NEA Services Inc,"0"
The Divine Comedy,Alighieri Dante,"0"
The Dollhouse Murders,Wright Betty Ren,"0"
The Doomsday Spore,Carter Nick,"0"
The Epic of Flight,Hicks Jim,"0"
The Epic of Flight,Horan Anne,"0"
The Establishment,Fast Howard,"0"
The Executive Secretarys Word and Phrase Finder,Bureau of Business Practice,"0"
The Fabulous Five,Haynes Betsy,"0"
The Fair Maid of Bohemia,Marston Edward,"0"
The Fallen,Johansen Iris,"0"
The Famous 7-Day Reducing Diet, Lindlahr Victor,"0"
The Far Lands,Hall James Norman,"0"
The Firm,Grisham John,"0"
The Five Bells and Bladebone,Grimes Martha,"0"
The Forest,Farb Peter,"0"
The Fox and the Hound - Thats What Friends are for,Disney Walt,"0"
The Furry News,Leedy Loreen,"0"
The Garden Plot,Borthwick J S,"0"
The General Was a Spy,Hohne Heinz & Hermann Zolling,"0"
The Ghost,Steel Danielle,"0"
The Gift of Forgiveness,Stanley Charles,"0"
The Gingerbread Man,Daly Audrey,"0"
The Gingerbread Man,Schmidt Karen Lee,"0"
The Gipsy in the Parlour,Sharp Margeriy,"0"
The Gods of Pegana,Dunsany Lord,"0"
The Gods of Pegana,Dunsany Lord,"1.0"
The Golden Age of the American Racing Car,Borgeson Griffith,"0"
The Golden Hawk,Yerby Frank,"0"
The Golden Spiders,Stout Rex,"0"
The Goofed-up Pet Shop,Snyder Margaret,"0"
The Green Eyes of Bast,Rohmer Sax,"0"
The Hand of Fu-Manchu,Rohmer Sax,"0"
The Happy Family, Nicole,"0"
The Harvard Classics English Poetry,Eliot Charles W LLD,"0"
The Health Care Services Directory,St Marys Medical Center,"0"
The Hermit of Eyton Forest,Peters Ellis,"0"
The Hidden Messages in Water,Emoto Masaru,"0"
The High Sierra,Bowen Ezra,"0"
The Hirelings Tale A Castlemere Mystery,Bannister Jo,"0"
The History of the Adventures of Joseph Andrews,Fielding Henry,"0"
The History of the Adventures of Joseph Andrews and His Friend Mr Abraham Adams,Fielding Henry,"0"
The History of the Comstock Lode, Smith Grant H,"0"
The History of the United States,Lossing Benson J,"0"
The Hour of Truth,Davidson David,"0"
The How Book for Geneologists,Everton George B Sr,"7.0"
The Illustrated Man,Bradbury Ray,"0"
The Illustrated Treasury of Childrens Literature,Martignoni Margaret E,"0"
The Immigrants,Fast Howard,"0"
The Incredible Journey,Burnford Sheila,"0"
The Inner World of Mental Health,Kaplan Bert,"0"
The Intruder,Fowler Helen,"0"
The Ivy Tree,Stewart Mary,"0"
The Joke Tellers Joke Book,Meier Frederick,"0"
The Jungle Book,Disney Walt,"0"
The Jungle Book,Kipling Rudyard,"0"
The Jungle Book,Mowgli Stories By Rudyard Kipling,"0"
The Kentish Manor Murders,Symons Julian,"0"
The King in Yellow,Chambers Robert W ,"0"
The Kissing Hand,Penn Audrey,"0"
The Kiwi Target,Ball John,"0"
The LL Bean Guide to the OUtdoors,Riviere Bill,"0"
The Lake Effect,Roberts Les,"0"
The Land of Lost,Green Allen Ayrault,"0"
The Land of the Lost,Hewson Isabel Manning,"0"
The Language of Feelings,Viscott MD David,"0"
The Last Days of Hitler,Trevor-Roper H R,"0"
The Late Clara Beame,Caldwell Taylor,"0"
The Laughing Hangman,Marston Edward,"0"
The Lawless,Jakes John,"0"
The Laws of Spirit,Millman Dan,"0"
The Left Handed Dictionary,Levinson Leonard Louis,"0"
The Legacy,Coyne John,"0"
The Life of Lenin,Fischer Louis,"0"
The Lighthouse,Pronzini Bill & Muller Marcia,"0"
The Lion King,Grolier,"1.0"
The Little Boy with the Big Horn,Bechdolt Jack,"0"
The Little Engine That Could,Piper Watty,"0"
The Little Flower Girl,Brandon Linda Tracey,"0"
The Little Golden Holiday Book,Conger Marion,"0"
The Little Mermaid- The Big Baby,Trimble Irene,"0"
The Little Rabbit Who Wanted Red Wings,Bailey Carolyn Sherwin,"0"
The Little White Bird or Adventures in Kensington Gardens,Barrie J M,"0"
The Lively Little Rabbit,Ariane,"0"
The Lolita Man A Harper and Iles Mystry,James Bill,"0"
The Lonesome Gnome,Hudson Arthur K,"0"
The Magic Garden,Stratton- Porter Gene,"0"
The Magic Power of Self-Image Psychology,Maltz Maxwell,"0"
The Mammoth Hunters,Auel Jean M,"0"
The Man in the Moonlight,Gilmore Cecile,"0"
The Market Square Dog,Herriot James,"0"
The Mary Frances First Aid Book,Fryer Jane Eayre,"0"
The Merriam-Webster Pocket Dictionare,Merriam-Webster,"0"
The Merry Adventures of Robin Hood,Pyle Howard,"0"
The Minister,Mercer Charles,"0"
The Moneyman,Costain Thomas B,"0"
The Monster at the End of This Book,Stone Jon,"0"
The Moon-Spinners,Stewart Mary,"0"
The Moonstone,Collins Wilkie,"0"
The Moonstone,Collins Wilkie ,"0"
The Mt Shasta Story,Eichorn A F Sr,"1.0"
The Mystery of the Gulls,Whitney Phylis A,"1.0"
The Nabisco Brands Collection of Cream of Wheat Advertising Art,Stivers Dave,"0"
The Navigator,West Morris,"0"
The Nevada Birdwatcher,Herlan Peter J,"0"
The Nevada Constitution,Bushnell Eleanore,"0"
The Nevada Highway Birdwatcher,Herlan Peter J,"0"
The New American Family Physician,Lyman Henry M MD  Various Others,"0"
The New Industrial State,Galbraith John Kenneth,"0"
The Night Before Christmas,Moore Clement Clark,"0"
The Old West,Luce Henry R,"0"
The Old West,The Spanish West,"0"
The Old World and Its Ways,Bryan William Jennings,"0"
The Origin of Life,Hollick F Dr,"0"
The Origin of Species,Darwin Charles,"0"
The Other Devils Name,Ferrars E X,"0"
The Overall Boys,Grover Eulalie Osgood,"0"
The Owl Who Became the Moon,London Jonathan,"0"
The Oxford New Spanish Dictionary,Lea Christine,"0"
The Ozarks,Rhodes Richard,"0"
The Perfect Yankee,Shaw Mark,"0"
The Pet Bubble Book,Mayhew Ralph and Burges Johnson,"0"
The Phantom Tollboth,Juster Norton,"35.0"
The Pistol Shooters Book, Askins Colonel Charles,"0"
The Pleasure of His Company,Fay JR Paul B,"0"
The Poetical Works of Sir Walter Scott,Scott Sir Walter,"0"
The Portable Elizabethan Reader, Haydn Hiram,"0"
The Power of Decision,Barker Raymond Charles,"1.0"
The Power of Positive Thinking,Peale Norman Vincent,"0"
The Price of Silence,Pentecost Hugh,"0"
The Prince Lost to Time,Doherty P C Wiritng as Ann Dukthas,"0"
The Principles and Practice of Obstetrics,De Lee Joseph B MD,"0"
The Print Shop Deluxe,Bohn Chris & Meyers Susan,"0"
The Print Shop Deluxe,Broderbund,"0"
The Quest of the Sacred Slipper,Rohmer Sax,"0"
The Quicksilver Pool,Whitney Phyllis A,"0"
The RIA Complete Analysis of the Rev Reconciliation Act of 1993,Professional Staff,"0"
The Raggedy Man,ODonnell Lillian,"0"
The Random House Dictionary of the English Language,Urdang Laurence,"0"
The Rapala Fishing Guide,Meier H R Bud,"0"
The Red Carnelian,Whitney Phyllis A,"0"
The Reno/Tahoe Visitor,Rose Phil and Merle,"0"
The Report on Unidentified Flying Objects,Ruppelt Edward J,"0"
The Return of Dr Fu-Manchu,Rohmer Sax,"0"
The Return of Sherlock Holmes, Doyle Arthur Conan,"0"
The Rise and Fall of Cesar Birotteau and the Secrets of a Princess,Balzac,"0"
The Road from Coorain,Conway Jill Ker,"0"
The Road to Better English Book 1,Alger Ralph K,"0"
The Roaring Boy,Marston Edward,"0"
The Rock Book,Fenton Carroll Lane O& Mildred Anams,"0"
The Rockford Files: Devils on My Doorstep,Kaminsky Stuart,"0"
The Romance of Water & Power,Kinsey Don J,"0"
The Romance of a Christmas Card,Wiggin Kate Douglas,"0"
The Ruling Class Inside the Imperial Congress,Felten Eric,"0"
The Saturday Eventing Post REader of Sea Stories,Day Edgar,"0"
The Sea and the Stars,Wilder Robert,"0"
The Secret War,De Gramont Sanche,"0"
The Secret of the Hittites,Ceram CW,"0"
The Secretarys Guide to Handling People,Bureau of Business Practice,"0"
The Shadow of the Lynx,Holt Victoria,"0"
The Sheriff of Bombay,Keating H R F,"0"
The Ship,Sherman Arnold,"0"
The Shoes of the Fisherman,Weet Morris L,"0"
The Shorter Novels of Herman Melville,Melville Herman,"0"
The Shy Little Horse,Scott Therese,"0"
The Silken Web,Brown Sandra,"0"
The Simple Solution to Rubiks Cube,Nourse James G,"0"
The Special Delivery,W Audry Rev,"0"
The Spell of the Yukon,Service Robert,"0"
The Springs of Joy,Tudor Tasha,"0"
The Star Trek Reader,Blish James,"0"
The Star Trek Reader II,Blish James,"0"
The Star Trek Reader III,Blish James,"0"
The Star Trek Reader IV,Blish James,"0"
The State of Alaska,Gruening Ernest,"0"
The State of Missouri,Williams Walter,"0"
The Stepford Wives,Levin,"0"
The Story of Crisco,Neil Marion Harris,"0"
The Story of Jesus,Alexander Beatrice,"0"
The Story of Patsy,Wiggin Kate Douglas,"0"
The Story of the White House,Whipple Wayne,"0"
The Successful Housekeeper,Manual of Universal Applicaion,"0"
The Sunbonnet Babies in Holland,Grover Eulalie Osgood,"0"
The Sunbonnet Twins,Milton Uncle,"0"
The Sunbonnet Twins,Uncle Milton,"0"
The Super Chicken Cookbook,Carlin Claudia,"0"
The Survivor,Herbert James,"0"
The Swing Era - One More Time,Luce Henry R,"0"
The Swing Era - The Postwar Years,Luce Henry R,"0"
The Talbot Odyssey,DeMille Nelson,"0"
The Tale of Peter Rabbit,Potter Beatrix,"0"
The Tenth Insight,Redfield James,"0"
The Tenth Life,Lockridge Richard,"0"
The Three Imposters,Machen Arthur,"1.0"
The Tragedy of Hamlet,Shakespeare William,"0"
The Trembling Hills,Whitney Phylis A,"0"
The Trembling Hills,Whitney Phyllis A,"0"
The Truth    What it Really Takes to Make it in Network Marketing,Klaver Kim,"0"
The Twelve Days of Christmas,Geddes Anne,"0"
The Twilight Zone,Serling Rod,"1.0"
The Two of Us, Berri Claude,"0"
The Undertaker Wind,Masterson Whit,"0"
The Valiant Years,LeVien Jack and John Lord,"0"
The Valley of Horses,Auel Jean M,"0"
The Velveteen Rabbit,Boudart Jennifer,"0"
The Velveteen Rabbit,Weber Louis,"0"
The Very First Christmas,Kidz,"0"
The View from the Fortieth Floor,White Theodore H,"0"
The Virginian,Wister Owen,"0"
The Way It is,Hillig Chuck,"0"
The Way of Herbs,Tierra CA ND Michael,"0"
The Western Horse,Gorman John A,"0"
The White Jade Fox,Norton Andre,"0"
The Wilder Shores of Love,Blanch Lesley,"0"
The Winner,Baldacci David,"0"
The Wisdom of James Allen,Allen James,"0"
The Wizard of Oz,Carey Mary,"0"
The Wonderland of Work,Mateaux C L,"0"
The World of Nature: Seashells,Rehder Harold A,"0"
The Worldly Philosophers,Heilbroner Robert L,"0"
The Yellow Claw,Rohmer Sax,"0"
The birth and Babyhood of the Telephone,Watson Thomas A,"0"
There Must be Some Mistake,Babson Marian,"0"
They Signed for Us,Sinclair Merle & McArthur Anabel Douglas,"0"
Think Like a Millionaire,Richdale Brad,"0"
This Awesome Challenge,Amrine Michael,"0"
This Hallowed Ground,Catton Bruce,"0"
This Little Piggy,Phyllis Fraser,"0"
This Little Piggy and Other Counting Rhymes,Frazer Phyllis,"0"
This Side of Innocence,Caldwelld Taylor,"0"
This is Ike the Picture Story of the Man,Soule Gardner,"0"
This is Pacific Electric,Smith O A,"0"
Thomas Nasts Christmas Drawings,Nast Thomas,"0"
Thomas and the Magic Railroad Little Engines Can Do Big Things,Alleroft Britt,"0"
Thoreau,Canby Henry Seidel,"0"
Those Who Love,Stone Irving,"0"
Thought and Statement,Leary William G & Smith James Steel,"0"
Three Pebbles,Smith Jody,"0"
Throwback,Ryan Jack D,"0"
Thy Brother Death, Ferrars E X,"0"
Thyme of Death,Albert Susan Wittig,"0"
Till We Have Faces,Lewis CS,"0"
Time of the Temptress,Winspear Violet,"0"
To Kill a Mockingbird,Lee Harper,"0"
Too Young to be a Grandfather,Temple Willard,"0"
Top Banana A Harpur & Iles Mystery,James Bill,"0"
Tourists are for Trapping,Babson Marian,"0"
Traceys Toogh Choice,Weyn Suzanne,"0"
Training of the Voice,Kline R E Pattison,"0"
Training of the Voice,R E Pattison Kline,"0"
Treasure Island,Stevenson Robert Louis,"0"
Triad A Novel of the Supernatural,Leader Mary,"0"
Trinity,Uris Leon,"0"
Trio Three Complete Novels,Slaughter Frank C,"0"
Trojan Gold,Peters Elizabeth,"0"
Trust Me on This,Westlake Donald,"0"
Tuning Up - the World of Music,Glenn Mabelle and Leavitt Helen S,"0"
Turqoise Mask,Whitney Phyllis A,"0"
Twentieth Century Dolls from Bisque to Vinyl,Anderton Johana Gast,"0"
Types of Great Literature,Houston Peracyi Hazen & Bonnell John Kester,"0"
Umbertos Circus,Buss Eduard,"0"
Un habitante de Carcosa,Bierce Ambrose,"0"
