Author,Title,Publisher,Grade,JacketCondition,Binding,BookType,ISBN ,PublishYear,Edition,Pages,Notes
"Rhodes, Frank H.T.",Fossils,Golden Press,Good,No Jacket,Soft Cover,Education,307244113,1962,,160,
"Stewart, Mary",The Moon-Spinners,Fawcett Crest,Poor,No Jacket,Soft Cover,Novel,No ISBN,1962,,223,
Walt Disney,Walt Disney's Story Land,A Golden Book,Good,No Jacket,Hard Cover,Child's Book,No ISBN,1962,,319,
"Beebe, Lucius",The Central Pacific & the Southern Pacific Railroads,Howell North Books,Very Good,Very Good,Hard Cover,Historical,,1963,,631,Centennial Edition
"Beebe, Lucius and Charles Clegg",Virginia & Truckee,Howell-North,Very Good,No Jacket,Soft Cover,Historical,None,1963,,,
"Bunn, Martin",Gus Wilson's Model Garage,Berkley Medallion Book,Good,No Jacket,Soft Cover,Education,No ISBN,1963,,160,
"Caldwell, Taylor",The Late Clara Beame,Fawcett Books,Fair,No Jacket,Soft Cover,Mystery,None,1963,,143,
"Da Silva, Zenia Sacks",Beginning Spanish,Harper and Rowe,Very Good,No Jacket,Hard Cover,Spanish,No ISBN,1963,,426,
"Da Silva, Zenia Sacks","Spanish, A Concept Approach","Harper & Row,",Very Good,No Jacket,Hard Cover,Spanish,None,1963,,,
Dr. Seuss,Dr. Seuss's A B C,Random House,Poor,No Jacket,Hard Cover,Child's Book,None,1963,,,
"Hubler, Edward","Wm. Shakespeare, The Tragedy of Hamlet",Signet Classics,Fair,No Jacket,Soft Cover,Education,No ISBN,1963,,269,
"Hurwood, Bernhardt J.",Terror By Night,Lancer Books,Poor,No Jacket,Soft Cover,Fantasy,None,1963,,127,
"Knebel, Fletcher & Bailey, Charles W. II",Seven Days in May,Harper & Row,Very Good,Good,Hard Cover,Fiction,none,1963,1st Edition,,
"London, Jack",The Call of the Wild,Grosset & Dunlap,Good,No Jacket,Hard Cover,Adventure,,1963,,152,
"Michener, James A.",Caravans,Bantam Books,Good,No Jacket,Soft Cover,Novel,No ISBN,1963,,370,
"Monaghan, Jay",The Book Of the American West,Simon & Schuster,Poor,No Jacket,Hard Cover,Historical,,1963,,608,
"Mowat, Farley",Never Cry Wolf,Bantam Books,Fair,No Jacket,Soft Cover,Historical,553133012,1963,,164,
"Myrick, David F.",Railroads of Nevada and Eastern California Vol.2,Howell-North,Very Good,Fine,Hard Cover,Historical,No ISBN,1963,,933,
"Peterson, Roger Tory",Life Nature Library: The Birds,"Time, Inc.",,,Hard Cover,Education,No ISBN,1963,,192,
"Queens, Ellery",Mysteryi Magazine,Detective Book Club,Fair,No Jacket,Soft Cover,Short Stories,None,1963,,162,
"Robertson, Keith",Henryi Reed's Journey,A Yearling Book,Fair,No Jacket,Soft Cover,Novel,440435552,1963,,220,
"Sewell, Anna",Black Beauty,Grosset & Dunlap,Poor,No Jacket,Hard Cover,Child's Book,No ISBN,1963,,276,
"Shakespeare, William",Hamlet,Signet Classics,Very Good,No Jacket,Soft Cover,Classic,,1963,,271,
"Varga, Judy",Miss Lollipop's Lion,William Morrow,As New,Fine,Hard Cover,Collector,,1963,,30,
"Weet, Morris L.",The Shoes of the Fisherman,A Del Book,Fair,No Jacket,Soft Cover,Novel,None,1963,,288,
"Amrine, Michael",This Awesome Challenge,Popular Library,Very Good,No Jacket,Soft Cover,Non-Fiction,,1964,,,
"Appleman, John Alan",How to Increase Your Money-Making Power,"Frederick Fell, Inc.",Poor,No Jacket,Hard Cover,Self Help,,1964,,247,
"Austen, Jane",Emma,The New American Library,Good,No Jacket,Soft Cover,Novel,No ISBN,1964,,396,
"Bergamini, David",Life Science Library: The Land and Wildlife of Australia,Time Inc.,,,Hard Cover,Education,No ISBN,1964,,198,
"Fitzhugh, Louise",Harriet the Spy,A Yearling Book,Good,No Jacket,Soft Cover,Child's Book,0-440-43447-5,1964,,298,
"Fitzhugh, Louise",Harriet the Spy,Troll Associates,Good,No Jacket,Soft Cover,Child's Book,60219106,1964,,298,
"Gardner, Earl Stanley",The Case of the Horrified Heirs,"Walter J. Black, Inc.",Very Good,No Jacket,Hard Cover,Mystery,,1964,,171,
"Gardner, Earl Stanley",The Case of the Phantom Fortune,"Walter J. Black, Inc.",Very Good,Fair,Hard Cover,Mystery,,1964,,173,
"Harroy, Franco Tassi, Fulco Pratesi * Christopher Humphries",National Parks of the World in Color,Bounty Books,Fair,Poor,Hard Cover,Travel,,1964,,128,
"Higgins, Jack",Passage By Night,A Signet Book,Good,No Jacket,Soft Cover,Mystery,451150392,1964,,207,
"Jacobs, J. Vernon",500 Little Known Stories from American History,Christian Crusade Publications,Good,No Jacket,Soft Cover,Historical,,1964,,187,
John D. MacDonald,A Purple Place for Dying,Detective Book Club,Fair,No Jacket,Hard Cover,Fiction,None,1964,,,
"Kaplan, Bert",The Inner World of Mental Health,Harper and Rowe,Fair,No Jacket,Soft Cover,Health,,1964,,467,
"Loving, Nita",Let's Talk About Dolls,"United Federation of Doll Clubs, Inc.",Fair,No Jacket,Soft Cover,Magazine,,1964,,32,
"MacArthur, Douglas","Reminiscences, General of the Army Douglas MacArthur",McGraw Hill,Good,No Jacket,Soft Cover,Autobiography,,1964,1st Edition,496,
"MacDonald, John",A Purple Place for Dying and Two More Books,Detective Book Club,Fair,No Jacket,Hard Cover,Novel,No ISBN,1964,,,
"Monsarrat, Nicholas",The Cruel Sea,Washington Square Press,Fair,No Jacket,Soft Cover,Historical,,1964,,501,
"Payne, Elizabeth",The Pharaohs of Ancient Egypt,Random House,Good,No Jacket,Soft Cover,Education,0-394-84699-0,1964,,180,
"Pearl, Richard M.","The Collector's Encyclopedia, Gems, Minerals, Crystals & Ores",Golden Press,Good,No Jacket,Soft Cover,Collector,None,1964,,,
Peters Ellis,Flight of the Witch,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,None,1964,,,
"Taylor, Jock",One Hundred Years Ago in Nevada,"Western Sales Distributing, Inc.",Fair,No Jacket,Soft Cover,Historical,No ISBN,1964,,372,
"Temple, Willard",Too Young to be a Grandfather,Reader's Digest,As New,Fair,Hard Cover,Advanced Reading Copy (ARC),None,1964,,,
"Bradley, Robert A., M.D.",Husband--Coached Childbirth,Harper & Row,Very Good,Fair,Hard Cover,Medical,,1965,,208,
"Bushnell, Eleanore",The Nevada Constitution,University of Nevada Press,Good,No Jacket,Soft Cover,Historical,No ISBN,1965,,181,
"Canfield, Jack & Hansen, Mark Victor",In Cold Blood,Random House,Good,No Jacket,Printer Wrapper,Novel,No ISBN,1965,,384,
"Capote, Truman",In Cold Blood,A Signet Book,Very Good,No Jacket,Soft Cover,Thriller,None,1965,,384,
"Ccoper, Susan","Over Sea, Under Stone","Scholastic, Inc.",Fair,No Jacket,Soft Cover,Child's Book,590433202,1965,,243,
"Christie, Agatha",13 at Dinner,Dell,Fair,No Jacket,Soft Cover,Mystery,none,1965,,224,
"Christie, Agatha",Poirot Loses a Client,Dell,Fair,No Jacket,Soft Cover,Mystery,none,1965,,252,
"Cline, C. Terry , Jr.",Damon,Fawcett Crest,,No Jacket,Soft Cover,Novel,No ISBN,1965,,320,
"Colcleaser, Donald E.",Bottles of Bygone Days,Donald E. Colcleaser,,No Jacket,Soft Cover,Collector,No ISBN,1965,,92,
"Cooper, Susan","Over Sea, Under Stone",Scholastic,Fair,No Jacket,Soft Cover,Novel,0-590-43320-2,1965,,243,
"Dutton, Bertha P.",Indians of the Southwest,"Southwestern Assoc. On Indian Affairs, Inc.",Poor,No Jacket,Soft Cover,Historical,No ISBN,1965,,160,
"Dutton, Bertha P.",Indians of the Southwest,"Southwestern Assoc. On Indian Affairs, Inc.",Poor,No Jacket,Soft Cover,Historical,none,1965,,,
"Gardner, Earl Stanley",The Case of the Beautiful Beggar,"Walter J. Black, Inc.",Very Good,Good,Hard Cover,Mystery,,1965,,180,
"Gardner, Earl Stanley",The Case of the Troubled Trustee,"Walter J. Black, Inc.",Fair,Fair,Hard Cover,Mystery,None,1965,,168,
"Herlan, Peter J.",The Nevada Birdwatcher,Nevada State Museum,Very Good,No Jacket,Soft Cover,Education,None,1965,,,
"Herlan, Peter J.",The Nevada Highway Birdwatcher,Nevada State Museum,Fair,No Jacket,Soft Cover,Historical,No ISBN,1965,,49,
"Hitchcock, Alfred",Stories Not for the Nervous,Random House,Very Good,Fair,Hard Cover,Fantasy,,1965,,363,
"Kernan, Alvin B.",Classics of the Modern Theater,"Harcourt Brace & World, Inc.",Poor,No Jacket,Soft Cover,Education,No ISBN,1965,,538,
"Lindquist, Charles B.",Mathematics in Colleges & Universities,"U.S.Department of Health, Education, and Welfare",Fair,No Jacket,Soft Cover,Education,No ISBN,1965,,104,
"Post, Elizabeth L.",Emily Post's Pocket Book of Etiquette,Pocket Books,Fair,No Jacket,Soft Cover,Education,No ISBN,1965,,467,
"Scott, Sir Walter",Ivanhoe,Harper and Rowe,As New,Good,Hard Cover,Classic,None,1965,,443,
"Serling, Rod",The Twilight Zone,Grosset & Dunlap,Poor,No Jacket,Soft Cover,Horror,,1965,1st Edition,190,
"Stone, Irving",Those Who Love,Doubledaiy & Co.,Poor,No Jacket,Hard Cover,Novel,None,1965,,602,
"Stout, Rex",The Doorbell Rang,ImPress Mystery,As New,No Jacket,Hard Cover,Novel,076218857X,1965,,207,
"Wanous S. J. & Haggblade, Berle",Personal Typewriting for Jr. H. S.,South-Western Pub.,Poor,No Jacket,Hard Cover,Education,No ISBN,1965,,122,
"Wanous, S. J. And Haggblade, Berle",Personal Typewriting,South Western Publishing Co.,Poor,No Jacket,Hard Cover,Education,None,1965,,,
"Wister, Owen",The Virginian,Paperback Library,Fair,No Jacket,Soft Cover,Western,,1965,,319,
"Bateman, Thelma","Delightful Dolls, Antique and Otherwise",Hobby House Press,Fair,Fair,Hard Cover,Collector,,1966,,237,
"Blumenstein, Lynn","Bottle Rush, U. S. A",Old Time Bottle Pub.,Fine,No Jacket,Soft Cover,Collector,,1966,,182,
"Borgeson, Griffith",The Golden Age of the American Racing Car,Bonanza Books,Very Good,Good,Hard Cover,Historical,No ISBN,1966,,288,
"Buxton, Frank & Owen, Bill",The Big Broadcast 1920-1950,Avon,Good,No Jacket,Soft Cover,Novel,380010585,1966,,,
"Carter, Eleanor Jean","Doll News, February 1966","United Federation of Doll Clubs, Inc.",Fair,No Jacket,Soft Cover,Magazine,,1966,,35,
"Clavell, James",Tai-Pan,Dell,Fair,No Jacket,Soft Cover,Novel,440184622,1966,,734,
"Drury, Allen",Capable of Honor,Doubledaiy & Co.,Good,No Jacket,Hard Cover,Adventure,None,1966,,531,
"Fay, JR, Paul B.",The Pleasure of His Company,Popular Library,Very Good,No Jacket,Soft Cover,Memoir,,1966,,262,
"Fichter, George S.",Insect Pests,Golden Press,Good,No Jacket,Soft Cover,Education,307240169,1966,,160,
"Hitchcock, Alfred",A Hangman's Dozen,A Dell Book,Very Good,No Jacket,Soft Cover,Mystery,No ISBN,1966,,222,
"Lane, Mark",Rush to Judgment,Faucett Crest,Very Good,No Jacket,Soft Cover,Historical,No ISBN,1966,,396,
"Lane, Mark",Rush to Judgment,Fawcett Crest,Very Good,No Jacket,Soft Cover,Historical,No ISBN,1966,,396,
"Lewis, C.S.",Till We Have Faces,Time Life Books,Very Good,No Jacket,Soft Cover,Mythology,,1966,,275,
"Picoult, Jodi",Nineteen Minutes,Atria Books,As New,As New,Hard Cover,Novel,1.40E+14,1966,,455,
"Robbins, Chandler S., Bruun, Bertel & Zim, Herbert S.",Birds of North America,Golden Press,Fair,No,Soft Cover,Education,NO ISBN,1966,,340,
"Sagan, Carl & Leonard, Jonathan",Life Science Library: Planets,Time Inc.,,,Hard Cover,Education,No ISBN,1966,,200,
"Trevor-Roper, H. R.",The Last Days of Hitler,"Collier Books, New York",Poor,No Jacket,Soft Cover,Historical,No ISBN,1966,,318,
"White, Gwen",european and American Dolls,Crescent Books,Very Good,Good,Hard Cover,Collector,0-517-390922,1966,,274,
"Whitney, Phyllis A.",Columbella,Fawcett Crest,Poor,No Jacket,Soft Cover,Novel,No ISBN,1966,,256,
" Gardner, Earl Stanley",The Case of the Queenly Contestant,"Walter J. Black, Inc.",Very Good,Poor,Hard Cover,Mystery,,1967,,167,
"Aird, Catherine",A Most Contagious Game,Bantam Books,Fair,No Jacket,Soft Cover,Mystery,553206753,1967,,181,
"Barnard, Christiaaan",One Life,Reader's Digest,Very Good,Fair,Hard Cover,Various,None,1967,,,
"Beebe, Lucius",The Big Spenders,Pocket Books,Good,No Jacket,Soft Cover,Humor,,1967,,449,
"Braun, Lillian Jackson",The Cat Who Ate Danish,Jove Books,Very Good,No Jacket,Soft Cover,Mystery,515087122,1967,,247,
"Cox, Palmer",The Brownies: Their Book,McGraw Hill,Good,Poor,Hard Cover,Child's Book,None,1967,,144,
"Davis, S. C. H.",Cars Cars Cars Cars,Hamlyn Publishing Group,Fine,Very Good,Hard Cover,Historical,600025020,1967,First Edition,137,
"Disney, Walt",The Jungle Book,Westerm Publishing,As New,No Jacket,Hard Cover,Child's Book,,1967,,,
Editors of Hot Rod Maazine,Hot Rod Chassis Construction,A Signet Book,Good,No Jacket,Soft Cover,Education,No ISBN,1967,,383,
Editors of Hot Rod Magazine,Hot Rod Engines,A Signet Book,Fair,No,Soft Cover,Education,No ISBN,1967,,384,
"Farago, Ladislas",The Broken Seal,Bantam Books,Fair,No Jacket,Soft Cover,Historical,No ISBN,1967,,464,
"Galbraith, John Kenneth",New Industrial State,Signet,Good,No Jacket,Soft Cover,Novel,,1967,,417,
"Hoffmeister, Donald F.",Zoo Animals,Golden Press,Fair,No Jacket,Soft Cover,Education,307240193,1967,,160,
"Kipling, Rudyard",The Jungle Book,Golden Book,Fair,,Hard Cover,Child's Book,,1967,,,
"McGlashan, Alan",Savage and Beautiful Country,Hillstone,Very Good,No Jacket,Soft Cover,Novel,883730359,1967,,154,
"Modell, Walter & Lansing, Alfred","Life Science Library, Drugs","Time, Inc.",,,Hard Cover,Education,No ISBN,1967,,200,
Mowgli Stories By Rudyard Kipling,The Jungle Book,Walt Disney,Good,No Jacket,Hard Cover,Child's Book,None,1967,,,
"Peale, Norman Vincent",A Guide to Confident Living,Fawcett Crest,Fair,No Jacket,Soft Cover,Health,,1967,,192,
"Reid, George K., Ph.D.",Pond Life,Golden Press,Good,No Jacket,Soft Cover,Education,307240177,1967,,160,
"Rynerson, Fred",Exploring and Mining Gems & Gold in the West,Naturegraph Publishers,Fair,No Jacket,Soft Cover,Historical,911010602,1967,,204,
"Stuart, Corey","Lassie, Adventure in Alaska",Weather Corporation,Good,No Jacket,Soft Cover,Adventure,,1967,,248,
"Walker, Mort",Beele Bailey Potato Fancakes,Tom Doherty,Fair,No Jacket,Soft Cover,Comics,523413386,1967,,,
"Wilder, Robert",The Sea and the Stars,G. P. Putnam,Good,No Jacket,Soft Cover,Novel,None,1967,,376,
"Williams, Hazel Pearson",Fun with Felt,Craft Course Publishers Inc.,Fair,No Jacket,Soft Cover,Art,,1967,,23,
"Young, Helen",The Complete Book of Doll Collecting,G. P. Putnam's Sons,Very Good,Fair,Hard Cover,Collector,,1967,,312,
"Braun, Lillian Jackson",The Cat Who Turned On and Off,Jove Books,Very Good,No Jacket,Soft Cover,Mystery,515087947,1968,,265,
"Carter, Eleanor Jean","Doll News , February, 1968","United Federation of Doll Clubs, Inc.",Good,No Jacket,Soft Cover,Magazine,,1968,,28,
"Christie, Agatha",By the Pricking of My Thumbs,"Dodd, Mead & Co",Good,Fair,Hard Cover,Mystery,,1968,,244,
"Clarke, Arthur C.",2010: Odyssey Two,A Del Rey Book,Poor,No Jacket,Soft Cover,Science Fiction,345303067,1968,,335,
"Crichton, Michael",A Case of Need,Signet Books,Good,No Jacket,Soft Cover,Mystery,451183665,1968,1st Edition,416,
"Fischer, Louis",The Life of Lenin,Harper & Row,Fair,Fair,Hard Cover,Historical,,1968,,703,
"Galbraith, John Kenneth",The New Industrial State,Signet,Fair,No Jacket,Soft Cover,Paperback,,1968,,430,
"Gardner, Earl Stanley",The Case of the Worried Waitress,"Walter J. Black, Inc.",Very Good,Fair,Hard Cover,Mystery,None,1968,,140,
"Hailey, Arthur",Airport,Reader's Digest,As New,Fine,Hard Cover,Ficton,None,1968,,,
"Horney, M.D., Karen",Self-Analysis,W.W. Norton & Co.,Very Good,No Jacket,Soft Cover,Self Help,393001342,1968,,280,
"Lee, Harper",To Kill a Mockingbird,Reader's Digest,As New,Poor,Hard Cover,Advanced Reading Copy (ARC),None,1968,,,
"Levi, Herbert W. & Lorna R. Levi",Spiders and Their Kin,Golden Press,Good,No Jacket,Soft Cover,Education,0-307-24021-5,1968,,160,
"Maslow, Abraham H.",Toward a Psychology of Being: 2nd Edition,D. Van Nostrand Company,Very Good,No Jacket,Soft Cover,Education,442038054,1968,,240,
"Montgomery, Ruth",Here and Hereafter,Fawcett Crest,As New,No Jacket,Soft Cover,Education,449208303,1968,,175,
"Petras, James & Zeitlin, Maurice","Latin America, Reform or Revolution",Fawcett Crest,Fair,No Jacket,Soft Cover,Political,,1968,,500,
"Sanders, Lawrence",Tales of The Wolf,Avon Books,As New,No Jacket,Soft Cover,Mystery,380751453,1968,,234,
"Urdang, Laurence",The Random House Dictionary of the English Language,Random House,Poor,No Jacket,Hard Cover,Education,No ISBN,1968,First Edition,1568,
"Wright, Richard",Native Son,Harper & Brothers,Good,Good,Hard Cover,Novel,,1968,1st Edition,359,
"Chew, Ruth",The Wednesday Witch,Scholastic,Good,No Jacket,Soft Cover,Paperback,059042761-x,1969,,128,
"Crichton, Michael",The Andromeda Strain,Ballantine Books,Fair,No Jacket,Soft Cover,Novel,345378482,1969,,269,
"Gardner, Earl Stanley",The Case of the Haunted Husband,Pocket Books,Fair,No Jacket,Soft Cover,Mystery,,1969,,218,
"Graves, Ralph, Managing Editor",Life - To the Moon and Back-Special Edition,"Life, 1969",Good,No Jacket,Soft Cover,Historic,,1969,Special Edition,,This special edition was skillfully done by the magazine personnel and was a real treat for anyone watching this historic event.
"Graves, Ralph, Managing Editor",Life: Apollo 12 on the Moon,"1959 Time, Inc.",Fair,No Jacket,Soft Cover,Magazine,,1969,,96,
"Kubler-Ross, Elisabetj",Pm Deatj Amd Dying,Macmillan,Fair,No Jacket,Soft Cover,Education,None,1969,,289,
"Lewi, Grant",Heaven Knows What,Llewellyn Publications,As New,Fine,Hard Cover,Astrology,,1969,,214,
"Lial, Margaret L. & Miller, Charles D.",Beginning Algebra,"Scott, Foresman and Company",Good,No Jacket,Hard Cover,Education,No IsBN,1969,,300,
Lovecraft and Others,Tales of the Cthulhu Mythos,Beagle Books,Poor,No Jacket,Soft Cover,Novel,No ISBN,1969,,277,
"Mercer, Charles",The Minister,Reader's Digest,Very Good,Good,Hard Cover,Ficton,None,1969,,,
"Michaels, Mike",What's the Matter with That Dog?,Troll Associates,Very Good,No Jacket,Soft Cover,Child's Book,,1969,,60,
"Miles, Miska",Apricot ABC,"Little, Brown & Co.",Good,No Jacket,Hard Cover,Child's Book,No ISBN,1969,,,
"Myracle, Lauren",Ttyl,Amulet Books,Very Good,No Jacket,Soft Cover,Child's Book,9.78E+12,1969,,229,
"Oddo, Nick and Peter M. Topaz",We Came in Peace,Classic Press Inc.,Fair,No Jacket,Hard Cover,Historical,,1969,1st Edition,77,
"Rogers, Will",Wise and Witty Sayings,Hallmark Editions,Poor,Fair,Hard Cover,Humor,No ISBN,1969,,62,
"Rollin, A. Roblert, Smith, Jerome, & Wilson, William A. Jr.",Workbook and Laboratory Manual,Alfred A. Knoff,,No Jacket,Soft Cover,Education,No ISBN,1969,,306,
"Von Daniken, Erich",Chariots of the Gods?,Michael Heron & Souvenir Press,Poor,No Jacket,Soft Cover,Novel,No ISBN,1969,,163,
"Whitney, Phyllis A.",The Red Carnelian,Paperback Library,Poor,No Jacket,Soft Cover,Novel,None,1969,,176,
"Zelazny, Roger",Damnation Alley,Berkely Books,Very Good,No Jacket,Soft Cover,Fiction,425036413,1969,,193,
"Bellairs, John",THE FACE IN THE FROST,Macmillan Publishers,Fair,Good,Hard Cover,Fantasy,,1969,,174,
"Ambrose, Stephen E.","Lewis & Clark, Voyage of Discovery",National Geographic,Very Good,Good,Hard Cover,Collector,0-7922-7084-3,1970,,253,
"Babbitt, Natalie",Knee-Knock Rise,Scholastic,Very Good,No Jacket,Soft Cover,Child's Book,590425390,1970,,118,
"Bach, George",The Intimae Enemy,Avon Books,Good,No Jacket,Soft Cover,Self Help,380003929,1970,,384,
"Bolless, Richard Nelson",What Color is Your Parachute,Ten Speed Press,Good,No Jacket,Soft Cover,Job-Hunters Manual,1.40E+14,1970,,361,
Bureau of Business Practice,The Secretary's Guide to Handling People,Bureau of Business Practices,Good,No Jacket,Soft Cover,Education,,1970,,36,
"Caldwell, Taylor",Great Lion of God,A Fawcett Crest,Good,No Jacket,Soft Cover,Novel,None,1970,,700,
"Chapman, Donald, Campbell, Randolph & Calvert, Robert",The Dallas Cowboys and the NFL,Unviversity of Oklahoma Press,Very Good,Good,Hard Cover,Historical,0-8061-0920-3,1970,,252,
"Dubin, Reese P.",Telecult Power: The AMazing New Way to Psychic and Occult Wonders,Parker Publishing,Very Good,Poor,Hard Cover,Advanced Reading Copy (ARC),,1970,,,
"Forsdyke, A.G.",Knowledge Through Color Weather and Weather Forecasting,Bantam Books,Fair,No Jacket,Soft Cover,Education,,1970,,159,
"Frey, Richard L.",According to Hoyle,Fawcett Books,Fair,No Jacket,Soft Cover,Games,,1970,,272,
"Gilman, Dorothy",The Unexpected Mrs. Pollifax,Fawcett Crest,Fair,No Jacket,Soft Cover,Mystery,449208281,1970,,204,
"Hale, Ludretia P.",Stories from The Peterkin Papers,Scholastic,Good,No Jacket,Soft Cover,Young Adult,,1970,,,
"Hemingway, Ernest",Islands in The Stream,Charles Scribner & Son,Poor,No Jacket,Soft Cover,Collector,0-684-14642-8,1970,,466,
"Higgins, Jack",Night Judgement at Sinos,Berklely Books,Good,No Jacket,Soft Cover,Novel,0-425--16199-4,1970,,289,
"Hodge, Merle",Crick Crack Monkey,Heinemann,Fair,No Jacket,Soft Cover,Education,435984012,1970,,111,
"Iacopi, Robert",Redwood Country,Lane Books,Very Good,No Jacket,Soft Cover,Travel,,1970,,96,
"Iocopi, Robert",Redwood Country,Lane Books,Good,No Jacket,Soft Cover,Historical,No ISBN,1970,,96,
"Keillor, Garrison",Happy to be Here,Penguin Books,Good,No Jacket,Soft Cover,Humor,1400.64826,1970,,276,
"Lindsey, Hal with Carlson, C.C.",The Late Great Planet Earth,Bantam Books,Fair,No Jacket,Soft Cover,Novel,553225022,1970,,180,
"Marquez, Gabriel Garcia",One Hunded Years of Solitude,Aven Books,As New,No Jacket,Soft Cover,Novel,038001503X,1970,,383,
"Picken, Mary Brooks & Doris White",Needlepoint for Everyone,Harper and Rowe,Fair,No Jacket,Hard Cover,Education,No ISBN,1970,,216,
"Piper, Watty",All About Story Book,Platt & Munk,As New,No Jacket,Hard Cover,Child's Book,None,1970,,64,
"Rice, Helen Steiner",What is Love?,Gibson Greeting Cards,As New,No Jacket,Soft Cover,Collector,,1970,1st Edition,,
"Sample, Johnny",Confessions of a Dirty Ballplayer,The Dial Press,As New,Very Good,Hard Cover,Historical,No ISBN,1970,,343,
"Santesson, Hanse Stefan",Understanding MU,Paperback Library,Good,Good,Soft Cover,Education,,1970,,187,
"Sears, Roebuck and Co.",Consumers Guide,DBI Books,Fair,No Jacket,Soft Cover,Reference,0-695-80204-6,1970,,1120,
"Seton, Ernest Thompson",King of the Grizzlies,"Scholastic, Inc.",Fair,No Jacket,Soft Cover,Child's Book,No ISBN,1970,,94,
"Sewell, Anna",Black Beauty,Classic Publishing Corp.,Very Good,No Jacket,Hard Cover,Child's Book,No ISBN,1970,,223,
"Stewart, Mary",THe Crystal Cave,Fawcett Crest,Fair,No Jacket,Soft Cover,Novel,No ISBN,1970,,375,
"Unger, Lisa",Fragile,Vintage Books,Very Good,No Jacket,Soft Cover,Mystery,9.78E+12,1970,,470,
"Wilson, Dorothy Clarke",Lone Woman,Reader's Digest,Very Good,Good,Hard Cover,Advanced Reading Copy (ARC),None,1970,,,
"Wilton, Norman",Cake & Food Decorating,"Wilton Enterprising, Inc.",Good,No Jacket,Soft Cover,Cook Book,No ISBN,1970,,192,
"Anderton, Johana Gast",Twentieth Century Dolls from Bisque to Vinyl,The Trojan Press,Poor,Poor,Hard Cover,Collector,,1971,,464,
"Barrett, S. M.",Geronimo His Own Story,Ballantine Books,Fair,No Jacket,Soft Cover,Historical,3.45E+11,1971,1st Edition,204,
"Blume, Judy",Freckle Juice,Four Winds Press,Poor,No Jacket,Hard Cover,Child's Book,590072420,1971,,40,
"Crocker, Betty",Betty Crocker's All Time Favorites,Golden Press,,,Hard Cover,Cook Book,No ISBN,1971,,160,
"Durr, William K., LePere, Jean M. & Niehaus, Bess",Rewards,Houghton Miffin Co.,Very Good,No Jacket,Hard Cover,Collector,0-395-00582-5,1971,,288,
"Ellis, Mel","Wild Goose, Brother Goose",Reader's Digest,As New,Good,Hard Cover,Advanced Reading Copy (ARC),None,1971,,,
"Florin, Lambert",Nevada Ghost Towns,Superior Publishing Company,Good,No Jacket,Soft Cover,Historical,,1971,,96,
"Gardner, Earl Stanley",All Grass Isn't Green,Pocket Books,Very Good,No Jacket,Soft Cover,Mystery,,1971,,176,
"Garfield, Brian",Deep Cover,Fawcett Crest,Fair,No Jacket,Soft Cover,Novel,449236013,1971,,316,
"Gaskin, Catherine",A Falcon for a Queen,Reader's Digest,As New,As New,Hard Cover,Advanced Reading Copy (ARC),None,1971,,,
"Gilman, Dorothy",The Amazing Mrs. Polifax,Reader's Digest,As New,Good,Hard Cover,Advanced Reading Copy (ARC),none,1971,,,
"Hall, Bobi",Handbook of Common Macrame Knots,Craft Course Publishers Inc.,Fair,No Jacket,Soft Cover,Education,,1971,,30,
"Hallard, Peter",Puppy Lost in Lapland,"Franklin Watts, Inc",Good,No Jacket,Hard Cover,Child's Book,,1971,,124,
"Hart, B.H. Liddell",History of the Second World War,G.P. Putnams Sons,Good,No Jacket,Hard Cover,Historical,,1971,1st Edition,768,
"Hesse, Herman",Siddhartha,Bantam Books,Fair,No Jacket,Soft Cover,Novel,No ISBN,1971,,152,
"Hohne, Heinz & Hermann Zolling",The General Was a Spy,Bantam Books,Poor,No Jacket,Soft Cover,Historical,No ISBN,1971,,439,
"Holt, Victoria",The Shadow of the Lynx,Fawcett Crest,Poor,No Jacket,Soft Cover,Romance,No ISBN,1971,,320,
"Hurwood, Bernhardt J.","Ghost, Gouls & Other Horrors",Scholastic,Good,No Jacket,Soft Cover,Fantasy,590450913,1971,,144,
"Jablonski, Edward",Outraged Skies,Doubledaiy & Co.,Good,Fair,Hard Cover,Historical,038504156X,1971,,147,
"Jablonski, Edward",Terror from the Sky,Doubledaiy & Co.,Good,Poor,Hard Cover,Historical,385045247,1971,,175,
"Jablonski, Edward","Tragic Victories, Airwar: Volume II",Doubledaiy & Co.,Good,No Jacket,Hard Cover,Historical,038504125X,1971,,207,
L'Amour Louis,Tucker,Bantam Books,Very Good,No Jacket,Soft Cover,Western,9.78E+12,1971,,219,
"Leuzzi, Marlene and Robert J. Kershner",Kewpies in Action,????,Very Good,As New,Hard Cover,Education,,1971,,122,By the Author
"Ludlum, Robert",The Scarlatti Inheritance,Bantam Book,Fair,No Jacket,Soft Cover,Mystery,553114271,1971,,354,
"MacDonald, John D.",A Tan and Sandy Silence,A Fawcett Gold Medal Book,Poor,No Jacket,Soft Cover,Mystery,No ISBN,1971,,255,
"McDowell, Jack",Ghost Towns of the West,Sunset Publishing Corporation,As New,No Jacket,Hard Cover,Education,,1971,,256,
"Morrison, Jim",The Lords and The New Creatures,Simon & Shuster,Poor,No Jacket,Soft Cover,Poetry,0-671-21044-0,1971,,141,
