AUTHOR,TITLE,PUBLISHER,BOOK_GRADE,JACKET_CONDITION,BINDING_TYPE,BOOK_TYPE,ISBN ,PUBLISHER_YEAR,EDITION,PAGES,NOTES
"Rayner, Carolyn",Desk Reference Atlas,Library of Congress,Very Good,Fine,Hard Cover,Reference,0195213718,1997,NULL,160,NULL
"Redfield, James",The Celestine Vision,Warner Books,As New,As New,Hard Cover,Novel,446522740,1997,NULL,242,NULL
"Redfield, James",The Celesttine Prophecy,Warner Books,Good,No Jacket,Soft Cover,Adventure,446671002,1997,1,246,NULL
"Roberts, Nora",Sanctuary,Jove Books,Very Good,No Jacket,Soft Cover,Romance,515122734,1997,NULL,516,NULL
"Rutherford, Edward",London,Fawcett Crest,Fair,No Jacket,Soft Cover,Novel,449002632,1997,NULL,1126,NULL
"Sanders, Lawrence",McNallys Gamble,G. P. Putnams Sons,As New,Poor,Hard Cover,Mystery,399142487,1997,NULL,307,NULL
"Sanders, Lawrence",McNallys Gamble,G. P. Putnams Sons,Fair,Fair,Hard Cover,Mystery,399142487,1997,NULL,307,NULL
"Sanders, Lawrence",McNallys Luck,Berklely Books,Very Good,No Jacket,Soft Cover,Mystery,425137457,1997,NULL,324,NULL
"Scottoline, Lisa",Rough Justice,Harper Paperbacks,Very Good,No Jacket,Soft Cover,Mystery,0061096105,1997,NULL,460,NULL
"Seears, Barry, Ph.D.",Mastering the Zone,Regan Books,Very Good,Very Good,Hard Cover,Health,60391901,1997,1,372,NULL
"Sheldon, Sidney",The Best Laid Plans,William Morrow,As New,Good,Hard Cover,Mystery,688149111,1997,NULL,358,NULL
Shimberg Elaine Fantle,Write Where You Live,Writers Digest Books,As New,As New,Hard Cover,Education,898798728,1997,NULL,234,NULL
"Snead, G. Lynne, & Wycoff, Joyce",To Do Doing Done!,Simon & Schuster,As New,No Jacket,Soft Cover,Self Help,684818876,1997,NULL,255,NULL
"Spillane, Mickey",The Day the Sea Rolled Back,Bantam Books,Good,No Jacket,Soft Cover,Mystery,553145975,1997,NULL,119,NULL
"Steel, Danielle",The Ghost,A Del Book,Very Good,No Jacket,Soft Cover,Novel,0440224853,1997,NULL,NULL,NULL
"Tarkenton, Fran with Wes Smith",What Losing Taught Me About Winning,Simon & Schuster,As New,As New,Hard Cover,Autobiography,684834138,1997,NULL,248,Signed by Author
"Theismann, Joe with Brian Tarcy",The Complete Idiots Guide to Understanding Football Like a Pro,Alpha,Fair,No Jacket,Soft Cover,Sports,28617436,1997,NULL,328,NULL
Wainscott,Second Time Around,St Martines Paperbacks,Good,No Jacket,Soft Cover,Novel,312963548,1997,NULL,310,NULL
"Weil, Andrew, M.D.",Eight Weeks to Optimum Health,Arnold A. Knopf,As New,No Jacket,Hard Cover,Medical,679447156,1997,NULL,276,NULL
"White, Stephen",Remote Control,Signet,Good,No Jacket,Soft Cover,Mystery,451191692,1997,NULL,415,NULL
"Yapko, PHD, Michael D.",Breaking the Patterns of Depression,Broadway Books,As New,No Jacket,Soft Cover,Self Help,385483708,1997,NULL,360,NULL
"Yorke, Margaret",Act of Violence,Detective Book Club,Good,No Jacket,Hard Cover,Mystery,NULL,1997,NULL,282,NULL
" Chapman, Dean",Wherre Was I When Time Went By,Pleasant Hills Press,Very Good,No Jacket,Soft Cover,Paperback,964977648,1998,NULL,161,NULL
"Adams, Marilyn Jager",Waiting for the Bus,SRA McGraw Hill,Good,No Jacket,Hard Cover,Childs Book,26743183,1998,NULL,16,NULL
"Adams, Scott",The Joy of Work,Harper Business,Very Good,Very Good,Hard Cover,Comics,887308716,1998,NULL,264,NULL
"Albert, Susan Wittig",Chile Death,Berkely Prime Crime,As New,Very Good,Hard Cover,Mystery,425165396,1998,1,306,NULL
"Angler, Bradford",How to Stay Alive in the Woods,Simon & Schuster,Very Good,No Jacket,Soft Cover,Paperback,684831015,1998,NULL,NULL,NULL
"Arnold, Ann",Gamblers & Gangsters,Eakin Press,Very Good,No Jacket,Soft Cover,Non-Fiction,1571682503,1998,NULL,NULL,NULL
"Baldacci, David",Simple Truth,Warner Books,As New,As New,Hard Cover,Mystery,446523321,1998,NULL,470,NULL
"Bennett, William J.",The Death of Outrage,The Free Press,Very Good,Very Good,Hard Cover,Political,684813726,1998,NULL,154,NULL
"Bledsoe, Michele",The Kitty Treats Cookbook,"Come & Get It"" Publishing""",Very Good,No Jacket,Hard Cover,Cook Book,0965304280,1998,NULL,13,NULL
"Block, Lawrence",Tanner on Ice,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1998,NULL,NULL,NULL
"Bond, Larriy",Day of Wrath,Warner Vision Books,Very Good,No Jacket,Soft Cover,Novel,446607053,1998,NULL,512,NULL
"Brand-Miller, Jennie",The Glucose Revolution,Marlowe & Co.,Fair,No Jacket,Soft Cover,Medical,1569246602,1998,NULL,272,NULL
"Braun, Lilian Jackson",The Cat Who Saw Stars,G. P. Putnam Sons,As New,Very Good,Hard Cover,Mystery,399144315,1998,NULL,227,NULL
"Braun, Lillian Jackson",The Cat Who Sang for the Birds,Jove Books,Very Good,No Jacket,Soft Cover,Mystery,051512463,1998,NULL,251,NULL
"Braun, Lillian Jackson",The Cat Who Saw Stars,G. P. Putnam Sons,As New,Fine,Hard Cover,Mystery,399144315,1998,NULL,NULL,NULL
"Brown, Rita Mae",Murder on the Prowl,Bantam Books,As New,Fine,Hard Cover,Mystery,553099701,1998,NULL,320,NULL
"Brown, Sandra",The Silken Web,Warner Books,Fair,No Jacket,Soft Cover,Romance,0446364797,1998,NULL,NULL,NULL
"Brown, Sandra",Unspeakable,Warner Books,As New,Fine,Hard Cover,Fiction,446519790,1998,NULL,439,NULL
"Burke, Jan",Liar,Simon & Shuster,As New,Fine,Hard Cover,Mystery,684803453,1998,1,350,NULL
"Burke, Jan",Liar,Simon & Schuster,Good,Good,Hard Cover,Mystery,0684803453,1998,NULL,348,NULL
Canfield & Hansen,Chicken Soup for the Pet Lovers Soul,Health Communications,Poor,No Jacket,Soft Cover,Health,1558745718,1998,NULL,402,NULL
"Canfield, Jack & Several Others",Chicken Soup for the Kids Soul,Scholastic,Very Good,No Jacket,Soft Cover,Childs Book,0439159849,1998,NULL,398,NULL
"Cataudella, Joe & Sawyer, Ben & Greely, Dave",Creating Stores on the Web,Peachpit Press,Very Good,No Jacket,Soft Cover,Education,201696819,1998,NULL,544,NULL
"Child, Lee",Die Trying,G. P. Putnams Sons,As New,As New,Hard Cover,Mystery,399143793,1998,NULL,374,NULL
"Clancy, Tom",Net Force,Berklely Books,Poor,No Jacket,Soft Cover,Novel,0425161722,1998,NULL,372, Cover Missing
"Clark, Carol Higgins",Twanged,Time Warner,Good,No Jacket,Soft Cover,Mystery,446605360,1998,NULL,326,NULL
"Clark, Mary Higgins",The Anastasia Syndrome and Other Stories,Pocket Star Books,Good,No Jacket,Soft Cover,Mystery,671701231,1998,NULL,308,NULL
"Clark, Mary Higgins","Weep No More, My Lady",Pocket Books,Very Good,No Jacket,Soft Cover,Mystery,6710255899,1998,1,307,NULL
"Clark, Mary Higgins",You Belong To Me,Simon & Schuster,As New,Fine,Hard Cover,Mystery,684835959,1998,NULL,317,NULL
"Conkling, Winifred",Secrets of 5-HTP,St. Martins Paperbacks,As New,No Jacket,Soft Cover,Medical,312968590,1998,NULL,247,NULL
"Connelly, Michael",Blood Work,"Little, Brown & Co.",Good,Good,Hard Cover,Mystery,316353990,1998,NULL,393,NULL
"Connelly, Michael",Trunk Music,St Martines Paperbacks,Good,No Jacket,Soft Cover,Mystery,312963297,1998,NULL,438,NULL
"Cornwell, Patricia",Point of Origin,Berklely Books,As New,No Jacket,Soft Cover,Mystery,0425169863,1998,NULL,397,NULL
"Cornwell, Patricia",Point of Origin,Berklely Books,Good,No Jacket,Soft Cover,Mystery,425169863,1998,NULL,397,NULL
"Cornwell, Patricia",Southern Cross,G. P. Putnam Sons,Fine,Fine,Hard Cover,Mystery,039914465,1998,NULL,359,NULL
"Daheim, Mary",Snow Place to Die,Avon Books,As New,No Jacket,Soft Cover,Mystery,380785218,1998,NULL,293,NULL
"Daheim, Mary",The Alpine Kindred,Ballantine Books,Very Good,No Jacket,Soft Cover,Mystery,345421221,1998,NULL,309,NULL
"Daheim, Mary",Wed and Buried,Avon Books,As New,No Jacket,Soft Cover,Mystery,038078520,1998,NULL,299,NULL
"Davidson, Diane Mott",Prime Cut,Bantam Books,As New,No Jacket,Soft Cover,Mystery,553574671,1998,NULL,368,NULL
Dean Chapman,Where Was I When Time Went By?,Pleasant Hills Press,As New,No Jacket,Soft Cover,Self Help,NULL,1998,NULL,NULL,NULL
"Deaver, Jeffery",The Bone Collector,A Signet Book,As New,No Jacket,Soft Cover,Mystery,451188454,1998,NULL,427,NULL
"Deaver, Jeffery",The Coffin Dancer,Pocket Books,Good,No Jacket,Soft Cover,Mystery,743474139,1998,NULL,532,NULL
"Dibdin, Michael",A Long Finish,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1998,NULL,NULL,NULL
"Douglas, Hunter",Window Decorating,American Home Style & Gardening,As New,As New,Hard Cover,Education,0963675133,1998,NULL,104,NULL
"Evans, Nicholas",The Loop,Delacorte Press,As New,Good,Hard Cover,Mystery,038531700,1998,NULL,434,NULL
"Fagan, Brian",From Black Land to Fifth Sun,Helix Books,Fair,No Jacket,Soft Cover,Education,738201413,1998,NULL,403,NULL
"Fairstein, Linda",Likely to Die,Pocket Books,Good,No Jacket,Soft Cover,Novel,671014935,1998,NULL,418,NULL
"Gardner, Lisa",Brandons Bride,A Signet Book,Good,No Jacket,Soft Cover,Mystery,97812,1998,NULL,307,NULL
"Gardner, Lisa",The Perfect Husband,Bantam Book,Very Good,No Jacket,Soft Cover,Novel,0553593495,1998,NULL,402,NULL
"Grafton, Sue",N is for Noose,Fawcett Books,As New,No Jacket,Soft Cover,Mystery,449223612,1998,NULL,322,NULL
"Grafton, Sue",N is for Noose,Faucett Crest,As New,No Jacket,Soft Cover,Mystery,0449223612,1998,NULL,322,NULL
"Grisham, John",The Street Lawyer,Doubleday,As New,Poor,Hard Cover,Mystery,385490992,1998,NULL,312,The jacket on this book is torn.
"Grisham, John",The Street Lawyer,Island Books,Very Good,No Jacket,Soft Cover,Mystery,440225701,1998,NULL,449,NULL
"Grout, Pam",Jump-Start Your Metabolism,A Fireside Book,As New,No Jacket,Soft Cover,Medical,684843463,1998,NULL,176,NULL
"Hackett, Eric",How You See it,Eric Hackett,As New,No Jacket,Hard Cover,Adventure,97812,1998,NULL,89,NULL
"Hall, Parnell",Suspense,Warner Books,As New,Very Good,Hard Cover,Mystery,892966246,1998,NULL,314,NULL
"Higgins, Jack",The Presidents Daughter,Berklely Books,Good,No Jacket,Soft Cover,Novel,425163415,1998,NULL,304,NULL
"Hillerman, Tony",The First Eagle,Harper Paperbacks,Good,No Jacket,Soft Cover,Mystery,61097853,1998,NULL,319,NULL
"Hornbacher, Marya",Wasted,Harper Perennial,Fair,No Jacket,Soft Cover,Self Help,14014,1998,NULL,298,NULL
"Howard, Alice and Walden",Exploring the Road Less Traveled,Simon & Schuster,Very Good,No Jacket,Soft Cover,Self Help,671620541,1998,NULL,187,NULL
"Jacobs, Gregg D., PH.D",Say Goodnight to Insomnia,Henry Holt and Co.,Fine,No Jacket,Soft Cover,Medical,97812,1998,NULL,319,NULL
"James, Bill","Top Banana, A Harpur & Iles Mystery",Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1998,NULL,NULL,NULL
"Jance, J. A.",Rattlesnake Crossing,Avon,As New,Fine,Hard Cover,Mystery,380974991,1998,NULL,371,NULL
"Jenson, John A.",Lost & Found,Hyperion,As New,As New,Hard Cover,Self Help,786864818,1998,1,129,NULL
"Johansen, Iris",The Face of Deception,Bantam Books,As New,No Jacket,Soft Cover,Mystery,553578022,1998,NULL,446,NULL
"Johnstone, William W.",Honor of the Mountain Man,Pinnacle Books,Very Good,No Jacket,Soft Cover,Novel,14014,1998,1,288,NULL
Kaminsky Stuart,The Rockford Files: Devils on My Doorstep,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1998,NULL,NULL,NULL
"Kellerman, Faye",Moon Music,Avon Books,As New,No Jacket,Soft Cover,Mystery,0380726262,1998,NULL,505,NULL
"Kellerman, Jonathan",Billy Straight,Random House,As New,Fine,Hard Cover,Mystery,679459596,1998,NULL,467,NULL
"Kellerman, Jonathon",Billy Straight,Random House,As New,Fine,Hard Cover,Mystery,679459596,1998,NULL,467,NULL
"Kent, Steven",Age of Empires,Microsoft,Good,No,Soft Cover,Paperback,0735605696,1998,NULL,269,NULL
"Kinkade, Thomas & Spencer, Katherine",Home Song,A Berkley Book,Fair,No Jacket,Soft Cover,Novel,0425191834,1998,NULL,377,NULL
"Klaver, Kim",The Truth . . . What it Really Takes to Make it in Network Marketing,Max Out Procuctions,Very Good,No Jacket,Soft Cover,Self Help,NULL,1998,NULL,NULL,NULL
"Krensky, Stephen",Arthur Makes the Team,Leapfrog Enterprises,Very Good,No Jacket,Soft Cover,Childs Book,158605130,1998,NULL,63,NULL
"Krentz, Jayne Ann",Sharp Edges,Pocket Books,As New,Fine,Hard Cover,Mystery,0671523104,1998,NULL,320,NULL
"Krentz, Jayne Ann",Sharp Edges,Pocket Star Book,As New,No Jacket,Soft Cover,Novel,671524097,1998,NULL,368,NULL
"Lescroart, John",Mercy Rule,Island Books,As New,No Jacket,Soft Cover,Mystery,0440222826,1998,NULL,611,NULL
"Lippincott, Catherine Paradiso","Lippincotts Review Series, Pharmacology",Lipponcott,As New,No Jacket,Soft Cover,Education,NULL,1998,NULL,636,NULL
"McNaught, Judith",Night Whispers,Pocket Books,As New,Good,Hard Cover,Mystery,671000853,1998,NULL,381,NULL
"Meltzer, Brad",Dead Even,Warner Vision Books,As New,No Jacket,Soft Cover,Novel,0446607339,1998,NULL,529,NULL
"Myers, Tamar","Eat, Drink and be Wary",Signet,As New,No Jacket,Soft Cover,Mystery,451192311,1998,NULL,272,NULL
"Myers, Tamar","So Faux, So Good",Signet,As New,No Jacket,Soft Cover,Mystery,0380792540,1998,NULL,248,NULL
"Myers, Tamar","So Faux, So Good",Avon,As New,No Jacket,Soft Cover,Mystery,380792540,1998,NULL,245,NULL
"Newman, Mark",Mapping the American Promise,Bedford Books,Fine,No Jacket,Hard Cover,Historical,312182422,1998,NULL,136,NULL
"OConnell, Carol",Judas Child,Jove Books,As New,No Jacket,Soft Cover,Mystery,0515125490,1998,NULL,510,NULL
"OConnell, Carol",Judas Child,Jove Books,Good,No Jacket,Soft Cover,Mystery,0515125490,1998,NULL,420,NULL
"Paradiso, Catherine",Pharmacology,Lippincott,As New,No Jacket,Soft Cover,Education,397553277,1998,NULL,636,NULL
"Patterson, Richard North",No Safe Place,Ballantine Books,As New,No Jacket,Soft Cover,Mystery,345404777,1998,NULL,509,NULL
"Preston, Douglas & Child, Lincoln",Reliquary,Tom Doherty,Good,No Jacket,Soft Cover,Thriller,97812,1998,1,457,NULL
"Roark, James L.",The American Promise,Bedford St. Martin,As New,No Jacket,Soft Cover,Historical,312111975,1998,NULL,1270,NULL
"Roberts, Les",A Shoot in Cleveland,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1998,NULL,NULL,NULL
"Sanders, Lawrence",Guilty Pleasures,Berklely Books,As New,No Jacket,Soft Cover,Mystery,425166392,1998,NULL,341,NULL
"Sanders, Lawrence",McNallys Puzzle,Berklely Books,As New,No Jacket,Soft Cover,Mystery,425157466,1998,NULL,343,NULL
"Sanders, N. K.",Masterpiecces Oc the Norton Anthology,W. W. Norton & Co.,Good,Good,Soft Cover,Reference,0393972895,1998,NULL,NULL,NULL
"Sandfford, John",Secret Prey,Berklely Books,As New,No Jacket,Soft Cover,Mystery,425168298,1998,NULL,384,NULL
"Sandford, John",The Night Crew,Berkley Books,Very Good,No Jacket,Soft Cover,Mystery,425163385,1998,NULL,355,NULL
"Scott, Willard",Murder Under Blue Skies,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1998,NULL,NULL,NULL
"Shapiro, Randall T.","Symptom Management in Multiple Sclerosis, 3rd Ed.",Demos Medical Publishing,Very Good,No Jacket,Soft Cover,Education,1888799226,1998,NULL,204,NULL
"Sheldon, Sidney",Tell Me Your Dreams,William Morrow,Poor,As New,Hard Cover,Novel,1568659415,1998,NULL,481,A page torn out of the front of the book
"Siegel, Barry",The Perfect Witness,Ballantine Books,As New,As New,Hard Cover,Mystery,345403075,1998,1,346,NULL
"Smith, Alexander McCall",No. 1 Ladies Detective Agency,Anchor Books,As New,No Jacket,Soft Cover,Mystery,0400009688,1998,NULL,235,NULL
"Smith, Alexander McCall",The No. 1 Ladies Detective Agency,Anchor Books,Very Good,No Jacket,Soft Cover,Mystery,140009688,1998,NULL,235,NULL
"Steam, Jess",Edgar Cayce on The Millenium,Warner Books,NULL,No Jacket,Soft Cover,Health,0446608408,1998,NULL,197,NULL
"Trimble, Irene",The Little Mermaid- The Big Baby,Golden Book,Very Good,No Jacket,Soft Cover,Childs Book,307103404,1998,NULL,NULL,NULL
"Vanzant, Iyanla",In the Meantime,Simon & Schuster,Good,No Jacket,Soft Cover,Non-Fiction,684841363,1998,NULL,326,NULL
"Violette, Ruth Magdalena","Our Torment and Survival of World War II, Germany","Pentland Press, Inc.",As New,As New,Hard Cover,Autobiography,1571971092,1998,NULL,175,Signed by Author
"Weber, Louis",The Velveteen Rabbit,Publications International Ltd,As New,No Jacket,Soft Cover,Childs Book,785319212,1998,NULL,NULL,NULL
"Weber, Robert",The Aluminum Hatch,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1998,NULL,NULL,NULL
"Winchester, Simon",The Professor and the Madman,Harper Collins,Very Good,No Jacket,Soft Cover,Novel,965792951,1998,NULL,242,NULL
"Winter, Douglas E.",Stephen King The Art of Darkness,A Signet Book,Fair,No Jacket,Soft Cover,Novel,451146123,1998,NULL,327,NULL
"Woodruff, Elvira",Dear Levi,Scholastic,As New,No Jacket,Soft Cover,Childs Book,439056055,1998,NULL,119,NULL
"Woods, Stuart",Orchid Beach,Harper Paperbacks,Very Good,No Jacket,Soft Cover,Novel,61013412,1998,NULL,406,NULL
"Zach, David",Zachronyms,Innovative Futures Press,As New,No Jacket,Soft Cover,Humor,1891630008,1998,1,127,Signed by Author
" Hoag, Tami",Ashes to Ashes,Bantam Books,Good,No Jacket,Soft Cover,Mystery,553579606,1999,NULL,566,NULL
"Albert, Susan Wittig",Lavender Lies,Berkley Prime Crime,Very Good,Good,Hard Cover,Mystery,425170322,1999,NULL,306,NULL
"Allen, Conrad",Murder On the Lusitania,Detective Book Club,Poor,No Jacket,Hard Cover,Mystery,NULL,1999,NULL,NULL,NULL
"Allen, Steve",Murder in Hawaii,Detective Book Club,Very Good,No Jacket,Hard Cover,Advanced Reading Copy (ARC),NULL,1999,NULL,NULL,NULL
"Allende, Isabel",Daughter of Fortune,Harper Torch,Very Good,No Jacket,Soft Cover,Novel,038082101,1999,NULL,NULL,NULL
"Baldacci, David",Saving Faith,Warner Vision Books,Very Good,No Jacket,Soft Cover,Mystery,446608890,1999,NULL,NULL,NULL
"Bannister, Jo",The Hirelings Tale (A Castlemere Mystery),Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1999,NULL,NULL,NULL
"Benjilian-Burgy, & Chiquito, Ana Beatriz & Mraz, Susan M.",Caminos,Houghton Miffin Co.,As New,No Jacket,Hard Cover,Spanish,039581538,1999,NULL,564,NULL
Berger. Paul E. & Stephanie Mensh,How to Conquer the World with One Hand and an Attitude,Positive Power Publishing,Very Good,No Jacket,Soft Cover,Health,966837819,1999,NULL,209,NULL
"Blanc, Nero",Crossword Murder,Penguin Putnam,As New,No Jacket,Soft Cover,Mystery,0425177017,1999,NULL,306,NULL
"Blanc, Nero",The Crossword Murder,Berklely Prime Crime,Very Good,No Jacket,Soft Cover,Mystery,425177017,1999,NULL,306,NULL
"Block, Lawrence",The Burglar in the Rye,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1999,NULL,NULL,NULL
"Braun, Lillian Jackson",The Cat Who Came to Breakfast,Jove Books,As New,No Jacket,Soft Cover,Mystery,515115649,1999,NULL,261,NULL
"Braun, Lillian Jackson",The Cat Who Robbed a Bank,G. P. Putnams Sons,As New,Fine,Hard Cover,Mystery,399145702,1999,NULL,242,NULL
"Brown, Sandra",The Alibi,Warner Books,As New,Fine,Hard Cover,Mystery,446519804,1999,NULL,490,NULL
Canfield & Hansen,A 6th Bowl of Chicken Soup,Health Communications,Very Good,No Jacket,Soft Cover,Health,1558746625,1999,NULL,385,NULL
"Canizares, Susan and Berger, Samantha",Canada,Scholastic,Very Good,No Jacket,Soft Cover,Childs Book,439045738,1999,NULL,NULL,NULL
"Chesson, Betsey and Chanko, Pamela",Australia,Scholastic,Very Good,No Jacket,Soft Cover,Childs Book,439045746,1999,NULL,NULL,NULL
"Clancy, Tom",State of Siege,Berklely Books,Good,No Jacket,Soft Cover,Mystery,425168220,1999,NULL,368,NULL
"Clark, Carol Higgins",Twanged,Warner Books,Good,No Jacket,Soft Cover,Mystery,446605360,1999,NULL,NULL,NULL
"Clark, Mary Higgins",Well Meet Again,Simon & Shuster,As New,Fine,Hard Cover,Mystery,684835975,1999,NULL,314,NULL
"Clark, Mary Higgins",Well Meet Again,Simon & Shuster,As New,Fine,Hard Cover,Mystery,0684835975,1999,NULL,314,NULL
"Clark, Mary Jane",Do You Promise Not to Tell & Do You want to Know a Secret,St. Martins Paperbacks,Fair,No Jacket,Soft Cover,Mystery,0312355653,1999,NULL,260,NULL
Coles Home Library Cookbooks,Cocktail Guide,Cole Publishing Group,As New,No Jacket,Mass Market Paperback,Cook Book,156426159,1999,NULL,128,NULL
"Cornwell, Patricia",Black Notice,Berklely Books,As New,Fine,Hard Cover,Mystery,425175405,1999,NULL,441,NULL
"Cornwell, Patricia",Black Notice,G. P. Putnams Sons,Poor,No Jacket,Hard Cover,Mystery,399145087,1999,NULL,320,NULL
"Cornwell, Patricia",Black Notice,G. P. Putnams Sons,Poor,Poor,Hard Cover,Mystery,399145087,1999,NULL,320,NULL
"Cussler, Clive",Atlantis Found,Berkley Books,Very Good,No Jacket,Soft Cover,Mystery,4251777173,1999,NULL,530,NULL
"Cussler, Clive",Atlantis Found,Berklely Books,Good,No Jacket,Soft Cover,Novel,97812,1999,NULL,521,NULL
"Cussler, Clive",Atlantis Found,Berkely Books,Fair,No Jacket,Soft Cover,Western,0425177173,1999,NULL,532,NULL
"Cussler, Clive","Serpent, A Novel from the Numa Files",Pocket Books,Fair,No Jacket,Soft Cover,Novel,14014,1999,NULL,470,NULL
"Davis, Jim",Garfields Extreme Cuisine Pigging Way Out!,Troll,Good,No Jacket,Soft Cover,Childs Book,816774323,1999,NULL,NULL,NULL
"De Groat, Diane","Happy Birthday to You, You Belong in a Zoo",Morrow Junior Books,Very Good,No Jacket,Soft Cover,Childs Book,688165443,1999,NULL,NULL,NULL
"Deaver, Jeffery",The Devels Teardrop,Pocket Star Book,Fair,No Jacket,Soft Cover,Mystery,0571038443,1999,NULL,451,NULL
"Deaver, Jeffery",The Devils Teardrop,Simon & Schuster,As New,As New,Hard Cover,Mystery,684852926,1999,NULL,396,NULL
"Deaver, Jeffery",The Devils Teardrop,Pocket Star Book,Very Good,No Jacket,Soft Cover,Mystery,671038443,1999,NULL,451,NULL
"Dewberry, Donna",Decorative Murals,North Light Books,Good,No Jacket,Soft Cover,Art,089134988,1999,NULL,144,NULL
"Dibdin, Michael","Blood Rain, an Aurelio Zen Mystery",Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1999,NULL,NULL,NULL
"Dubus, Andre, III",House of Sand and Fog,Vintage Books,Good,No Jacket,Soft Cover,Novel,375727345,1999,NULL,365,NULL
"Edell, Dean, M.D.","Eat, Drink and be Merry","Harper Collins, Publishers",As New,Good,Hard Cover,Medical,60191554,1999,1,347,NULL
"Evanovich, Janet",High Five,St Martines Press,As New,As New,Hard Cover,Mystery,312203039,1999,NULL,292,NULL
"Ferrigno, Robert",Heartbreaker,Detective Book Club,Very Good,No Jacket,Hard Cover,Mystery,NULL,1999,NULL,NULL,NULL
"Flynn, Vince",Transfer of Power,Pocket Books,Very Good,No Jacket,Soft Cover,Mystery,671023209,1999,NULL,549,NULL
"Folsom, Allan",Day of Confession,Warner Vision Books,As New,No Jacket,Soft Cover,Novel,446604534,1999,NULL,667,NULL
"Forshaw, Joseph, + Various",Birding- the Nature Company Guides,Time Life Books,As New,No Jacket,Hard Cover,Nature,0737000775,1999,NULL,288,NULL
"Fox, Zachary Alan",When the Wind Blows,Pinnacle Books,Poor,No Jacket,Soft Cover,Novel,786006587,1999,NULL,478,NULL
"Garavani, Daniela",Pigs and Pork,Konemann,Very Good,No Jacket,Hard Cover,Collector,3839014635,1999,NULL,183,NULL
"Garwood, Julie",Ransom,Pocket Books,Very Good,Good,Hard Cover,Mystery,671003356,1999,NULL,390,NULL
"Garwood, Julie",Ransom,Pocket Books,As New,Very Good,Hard Cover,Mystery,671003356,1999,1,486,NULL
"Grafton, Sue",O is for Outlaw,Henry Holt & Co.,Very Good,Poor,Hard Cover,Mystery,805059555,1999,NULL,272,NULL
"Greeley, Andrew M.",Irish Mist,A Tom Doherty Associates Book,Good,No Jacket,Soft Cover,Novel,812590236,1999,NULL,364,NULL
"Grisham, John",The Testament,Doubleday,Good,Good,Hard Cover,Mystery,0385493800,1999,NULL,343,NULL
"Halley, Ned","Disasters, Natural, Historical, Environmental, Future",Scholastic,Very Good,No Jacket,Soft Cover,Education,439338735,1999,NULL,63,NULL
"Harrell, Gilvert D. & Frazier, Gary L.","Marketing, Connecting with Customers","Prentice Hall, Inc.",Fair,No Jacket,Soft Cover,Education,23502517,1999,NULL,351,NULL
"Helm, Alice K.",The Family Legal Advisor,"Family Library, Inc.",Very Good,No Jacket,Hard Cover,Legal,517546558,1999,NULL,497,NULL
"Higgins Clark, Mary",Well Meet Again,Pocket Books,Good,No Jacket,Soft Cover,Mystery,671004565,1999,NULL,369,NULL
"Higgins, Tom",Nascar Greatest Races: The 25 Most Thrilling Races in Nascar History,Harper Entertainment,NULL,NULL,Hard Cover,Historical,0061051527,1999,NULL,141,NULL
"Hillerman, Tony",Hunting Badger,Harper Collins,As New,No Jacket,Soft Cover,Mystery,61097861,1999,NULL,335,NULL
"Hoag, Tami",Ashes to Ashes,Bantam Book,As New,No Jacket,Soft Cover,Mystery,0553579606,1999,NULL,NULL,NULL
"Holzer, Hans",Psychic: True Paranormal Experiences,Smithmark,Very Good,No Jacket,Hard Cover,Health,0765109530,1999,NULL,350,NULL
"Horrock, Henry",Potomac Fever,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1999,NULL,NULL,NULL
"Hunter, David",The Dancing Savior,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1999,NULL,NULL,NULL
"Ibbotson, Eva",The Secret of Platform 13 and Island of the Aunts,Puffin Books,Poor,No Jacket,Soft Cover,Novel,0142300497,1999,NULL,231,NULL
"Innes, Clive & Glass, Charles",The Illustrated Encyclopedia of Cacti,Quantum Books,Very Good,No Jacket,Soft Cover,Education,1861602197,1999,NULL,320,NULL
"Jackson, Sarah",A Childs History of Texas,Eakin Press,Fair,No Jacket,Soft Cover,Childs Book,1571683569,1999,NULL,51,NULL
"Jance, J. A.",Breach of Duty,Avon Books,Very Good,No Jacket,Soft Cover,Mystery,038071843,1999,NULL,358,NULL
"Jance, J. A.",Rattlesnake Crossing,Avon,As New,No Jacket,Soft Cover,Mystery,380792478,1999,NULL,374,NULL
"Johansen, Iris",And Then You Die,Bantam Books,Very Good,No Jacket,Soft Cover,Mystery,553579983,1999,NULL,322,NULL
