AUTHOR,TITLE,PUBLISHER,BOOK_GRADE,JACKET_CONDITION,BINDING_TYPE,BOOK_TYPE,ISBN ,PUBLISHER_YEAR,EDITION,PAGES,NOTES
"McCracken, Robert D.",Eureka Memories,Eureka County History Project,Fine,Fair,Hard Cover,Historical,NULL,1993,NULL,NULL,NULL
"Muntean, Michaela",I Want to be President,Dalmatian Press,Very Good,No Jacket,Soft Cover,Childs Book,97812,1993,NULL,NULL,NULL
"Paulsen, Gary",Nightjohn,LaurelLeaf Books,Fair,No Jacket,Soft Cover,Historical,440219361,1993,NULL,92,NULL
"Pecher, Otto","Enzymes, A Drug of the Future",Dr. Hans Hermann Von Wimpffen,Very Good,No Jacket,Soft Cover,Medical,3609512806,1993,NULL,153,NULL
"Penn, Audrey",The Kissing Hand,Scholastic,Fair,No Jacket,Soft Cover,Childs Book,0590047019,1993,NULL,NULL,NULL
"Pike, Christopher",The Eternal Enemy,Archway,Fair,No Jacket,Soft Cover,Young Adult,671745093,1993,NULL,180,NULL
"Prentiss, Charlotte",Children of the Ice,Onyx,Fair,No Jacket,Soft Cover,Novel,451177924,1993,NULL,494,NULL
Princeton Review,Grammar Smart,Villard Books,As New,No Jacket,Soft Cover,Education,067974617,1993,NULL,203,NULL
Professional Staff,The RIA Complete Analysis of the Rev. Reconciliation Act of 1993,RiA,Fair,No Jacket,Soft Cover,Reference,NULL,1993,NULL,968,NULL
"Pullman, Philip",The Golden Compass,Ramdom House,Very Good,No Jacket,Soft Cover,Ficton,97812,1993,NULL,351,NULL
"Quick, Amanda",Dangerous,Bantam Books,Good,No Jacket,Soft Cover,Romance,553293176,1993,NULL,338,NULL
"Remnick, David",Lenins Tomb,Random House,Fair,Good,Hard Cover,Historical,679423761,1993,NULL,576,NULL
"Roberts, Nora",Night Shade and Night Smoke,Silhouette Books,Very Good,No Jacket,Soft Cover,Romance,373285124,1993,NULL,NULL,NULL
"Rule, Ann",A Rose for Her Grave,Pocket Books,As New,No Jacket,Soft Cover,Mystery,97812,1993,NULL,NULL,NULL
"Sanders, Lawrence",McNallys Risk,Berklely Books,As New,No Jacket,Soft Cover,Mystery,425142868,1993,NULL,325,NULL
"Sandfford, John",Winter Prey,Berklely Books,Good,No,Soft Cover,Mystery,0425141233,1993,NULL,343,NULL
"Sandford, John",Winter Prey,Berklely Books,As New,No Jacket,Soft Cover,Mystery,0425141233,1993,NULL,343,NULL
"Sandford, John",Winter Prey,Berklely Books,As New,No Jacket,Soft Cover,Mystery,425141233,1993,NULL,343,NULL
"Shlafer, Marshal, PhD","The Nurse, Pharmacology, and Drug Therapy",Addison-Wesley,Very Good,No Jacket,Hard Cover,Education,805372415,1993,1,1490,NULL
"Shlafer, Marshal, PhD","The Nurse, Pharmacology, and Drug Therapy",Addison-Wesley,As New,No Jacket,Hard Cover,Education,0805172415,1993,NULL,1490,NULL
"Sobel, Milo",The 12-Hour MBA Program,"Prentice Hall, Inc.",Very Good,No Jacket,Hard Cover,Reference,0130453528,1993,NULL,249,NULL
"Stine, R. L.",Broken Hearts,Archway,Very Good,No Jacket,Soft Cover,Novel,671786091,1993,NULL,218,NULL
"Straub, Richard O.",Study Guide for Use With Exploring Psychology,Worth Publishers,Good,No Jacket,Soft Cover,Psychic,716751720,1993,NULL,431,NULL
The RIA Complete Analysis,Revenue Reconciliation Act of 1993,Research Institute of America,Fair,No Jacket,Soft Cover,Reference,NULL,1993,NULL,968,NULL
"Troop, Jane and Dale Craig",Word Perfect for Windows Study Guide,"Franklin, Beedle and Assoc.",Good,No Jacket,Soft Cover,Education,NULL,1993,NULL,92,NULL
"Weiner, Eric",Clue: Mystery at the Masked Ball,"Scholastic, Inc.",NULL,No Jacket,Soft Cover,Chap Book,0590456334,1993,NULL,76,NULL
"Wolzien, Valerie",A Star Spangled Murder,Fawcett Gold Medal,Good,No Jacket,Soft Cover,Mystery,449148343,1993,NULL,220,NULL
" Grisham, John",The Client,Island,Very Good,No Jacket,Soft Cover,Mystery,440213525,1994,NULL,566,NULL
" Oberlin, Loriann Hoff",Writing for Money,Writers Digest Books,As New,No Jacket,Hard Cover,Education,898796547,1994,NULL,246,NULL
Alan Rodgers,Pandora,Bantam Books,Very Good,No Jacket,Soft Cover,Science Fiction,055356305,1994,NULL,371,NULL
"Anderson, Kenneth N.","Mosbys Medical, Nursing & Allied Health Dictionary",Mosby,Very Good,No Jacket,Hard Cover,Education,0801672252,1994,NULL,1978,NULL
"Aron, Artthur and Elaine N.",Statistics for Psychology,"Prentice Hall, Inc.",As New,No Jacket,Hard Cover,Psychic,139140786,1994,NULL,643,NULL
"Baldinger, Kathleen OBannon",The Worlds Oldest Health Plan,Starburst Publishers,Very Good,No Jacket,Soft Cover,Health,914984578,1994,NULL,339,NULL
"Block, Lawrence",A Long Line of Dead Men,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1994,NULL,NULL,NULL
"Brinkley, Dannion w/Paul Pery",Saved By the Light,Villard Books,As New,As New,Hard Cover,Psychic,679431764,1994,NULL,161,NULL
"Brown, Sandra",Charade,Warner Books,As New,Fair,Hard Cover,Mystery,446516562,1994,1,405,NULL
"Burke, Jan","Sweet Dreams, Irene",Pocket Books,As New,No Jacket,Soft Cover,Mystery,743444523,1994,NULL,339,NULL
"Bush, Barbara",A Memoir Barbara Bush,Charles Scribner & Sons,As New,Very Good,Hard Cover,Memoir,25196359,1994,NULL,575,NULL
"Canfield, Jack & Hansen, Mark Victor",A 2nd Helping of Chicken Soup for the Soul,Health Communications,Fair,No Jacket,Soft Cover,Self Help,1558743316,1994,NULL,NULL,NULL
"Christian, Mary Blount",Sebastian (Super Sleuth),Maxmillan Publishing Co,Very Good,Very Good,Hard Cover,Mystery,0027182525,1994,NULL,57,NULL
"Clancy, Tom",Without Remorse,Berkley Books,Good,No Jacket,Soft Cover,Novel,425143325,1994,NULL,750,NULL
"Clark, Mary Higgins",Remember Me,Pocket Books,As New,No Jacket,Soft Cover,Mystery,671867091,1994,NULL,338,NULL
"Clark, Mary Higgins",Remember Me,Pocket Books,Very Good,No Jacket,Soft Cover,Mystery,671867091,1994,NULL,338,NULL
"Clark, Mary Higgins",The Lottery Winner,Simon & Schuster,As New,Fine,Hard Cover,Mystery,671867164,1994,NULL,215,NULL
"Clark, Mary Higgins",The Lottery Winner,Pocket Books,As New,No Jacket,Soft Cover,Mystery,0671867172,1994,NULL,273,NULL
"Cleary, Jon",Autumn Maze,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1994,NULL,NULL,NULL
"Cohn, David L.",An Aix Companion,"Prentice Hall, Inc.",Good,No Jacket,Soft Cover,Reference,132912201,1994,NULL,476,NULL
"Connelly, Michael",The Concrete Blonde,St. Martins Press,As New,No Jacket,Soft Cover,Mystery,312915080,1994,NULL,390,NULL
"Cook, Bruce",The Sidewalk Hilton,St Martines Press,As New,No Jacket,Hard Cover,Mystery,312110626,1994,NULL,277,NULL
"Cook, Bruce",The Sidewalk Hilton,St.Martins Press,As New,No Jacket,Hard Cover,Novel,0312110626,1994,1,276,NULL
"Cornwell, Patricia",The Body Farm,Charles Scribner & Son,As New,Fine,Hard Cover,Mystery,684195976,1994,NULL,293,NULL
"Coyle, Harold",Code of Honor,Pocket Books,Good,Good,Soft Cover,Novel,671510290,1994,NULL,432,NULL
"Daley, Rosie",In the Kitchen with Rosie,Alfred A. Knoff,Very Good,Very Good,Hard Cover,Cook Book,679434046,1994,NULL,129,NULL
"Deverell, William",Mindfield,A Mandarin Paperback,Good,No Jacket,Soft Cover,Novel,749304871,1994,NULL,220,NULL
"Dexter, Colin",The Daughters of Cain,Ivy Books,Good,No Jacket,Soft Cover,Novel,804113645,1994,NULL,301,NULL
"Doherty, P. C.",Song of a Dark Angel,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1994,NULL,NULL,NULL
"Edwards, Paul & Sarah",The Best Home Businesses for the 90s,A Jeremy P. Tarcher/Putnam Book,As New,No Jacket,Soft Cover,Education,874777844,1994,NULL,403,NULL
"Evanovich, Janet",Hot Six,St Martines Paperbacks,Very Good,No Jacket,Soft Cover,Mystery,312976275,1994,NULL,350,NULL
"Evanovich, Janet",One for the Money,St. Martins Paperbacks,Very Good,No Jacket,Soft Cover,Novel,312990456,1994,NULL,336,NULL
"Fontes, Ron and Just Ine Korman",Babys Day Out,Twentieth Century Fox,Fair,No Jacket,Soft Cover,Comics,816735298,1994,NULL,127,NULL
"Gaughen, Barbara & Weckbaugh, Ernest",Book Blitz,Best Seller Books,New,No Jacket,Soft Cover,Self Help,188147402,1994,NULL,NULL,NULL
"Gaughen, Barbara & Weckbaugh, Ernest",Book Blitz,Best Seller Books,As New,No Jacket,Soft Cover,Self-help,188147402,1994,NULL,268,NULL
"Gilman, Dorothy",Three Complete Mysteries,Barnes & Noble,Very Good,Good,Hard Cover,Mystery,1556194709,1994,NULL,532,NULL
"Grafton, Sue",K is for Killer,Random House,As New,No Jacket,Soft Cover,Mystery,449221504,1994,NULL,307,NULL
"Grafton, Sue",K is for Killer,Ballantine Books,Good,No Jacket,Soft Cover,Mystery,0499221504,1994,NULL,307,NULL
"Griessman, B. Eugene",Time Tactics of Very Successful People,McGraw-Hill,As New,No Jacket,Soft Cover,Self Help,70246440,1994,NULL,233,NULL
"Grisham, John",The Chamber,Island Books,Very Good,Fine,Hard Cover,Mystery,0440220602,1994,NULL,676,NULL
Grolier,The Lion King,Grolier Books,Very Good,No Jacket,Hard Cover,Childs Book,717283534,1994,1,NULL,NULL
"Higgins Clark, Mary",The Lottery Winner,Pocket Books,Very Good,No Jacket,Soft Cover,Mystery,671867172,1994,NULL,273,NULL
"Hoag, Tami",Dark Paradise,Bantam Book,As New,No Jacket,Soft Cover,Mystery,553561618,1994,NULL,517,NULL
"James, P. D.",Original Sin,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1994,NULL,NULL,NULL
"Jance, J. A.",Lying in Wait,Avon Books,As New,No Jacket,Soft Cover,Mystery,0380718413,1994,NULL,386,NULL
"Jance, J. A.",Tombstone Courage,Avon Books,As New,No Jacket,Soft Cover,Mystery,0380765462,1994,NULL,408,NULL
"Jance, J. A.",Tombstone Courage,Avon,Very Good,No Jacket,Soft Cover,Mystery,380765462,1994,NULL,408,NULL
"Judd, Polly and Pam","Compo Dolls, Volume II 1909 - 1928",Hobby House Press,As New,Very Good,Hard Cover,Collector,NULL,1994,NULL,158,NULL
"Kellerman, Faye",Sanctuary,William Morrow,As New,Fine,Hard Cover,Mystery,688086126,1994,NULL,351,NULL
"Kellerman, Jonathan",Bad Love,Ballantine Books,As New,No Jacket,Soft Cover,Mystery,0345460723,1994,NULL,483,NULL
"Lescroart, John",The 13th Juror,Island,Very Good,No Jacket,Soft Cover,Mystery,440220793,1994,NULL,NULL,NULL
"Lescroart, John",The 13th Juror,Island Books,Good,No Jacket,Soft Cover,Mystery,440220793,1994,NULL,544,NULL
"Lopez, D. A., MD., Williams, R. M. MD, Ph. D. & Miehlke, K. M.D.","Enzymes, the Fountain of Life",The Neville Press,Very Good,No Jacket,Soft Cover,Medical,1884303003,1994,NULL,330,NULL
"Mapson, Jo-Ann",Blue Rodeo,HarperPerennial,Good,No Jacket,Soft Cover,Romance,60169443,1994,NULL,318,NULL
McDonald Gregory,Fletch Reflected,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1994,NULL,NULL,NULL
"McKay, Hilary",Dog Friday,Aladdin Paperbacks,Good,No Jacket,Soft Cover,Childs Book,689817657,1994,NULL,133,NULL
"McKenna, Colleen OShaughnessy",Live From the Fifth Grade,Scholastic,Good,No Jacket,Soft Cover,Young Adult,590466852,1994,NULL,145,NULL
"McNaught, Judith",Until You,Pocket Books,As New,Good,Hard Cover,Novel,671880594,1994,1,437,NULL
"Michael, Judith",A Tangled Web,Simon & Shuster,As New,Fine,Hard Cover,Novel,671798790,1994,NULL,442,NULL
"Moore, Thomas",Soul Mates,Harper Collins,Fair,Fair,Hard Cover,Health,60169281,1994,1,267,NULL
"OConnell, Carol",Mallorys Oracle,Jove Books,Very Good,No Jacket,Soft Cover,Mystery,0515116475,1994,NULL,329,NULL
"Palmer, Michael",Natural Causes,Bantam Books,Good,No Jacket,Soft Cover,Novel,553568760,1994,NULL,465,NULL
"Parker, A. E.",Clue,Scholastic,Fair,No Jacket,Soft Cover,Childs Book,590478052,1994,NULL,96,NULL
"Peters, Tom",The Tom Peters Seminar,Vintage Books,As New,No Jacket,Soft Cover,Self Help,679754938,1994,NULL,319,NULL
"Pickard, Nancy",Confession,Pocket Books,As New,Fair,Hard Cover,Mystery,671782614,1994,NULL,307,NULL
"Ray, Richard",Management Strategies in Athletic Training,Human Kinetics Books,As New,No Jacket,Hard Cover,Sports,873225821,1994,NULL,256,NULL
"Rives, David A",Walk Yourself Thin,Moon River Publishing,Very Good,No Jacket,Soft Cover,Health,1878143018,1994,NULL,162,NULL
Roberts Les,The Lake Effect,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1994,NULL,NULL,NULL
"Sanders, Lawrence",McNalleys Caper,Berklely Books,As New,No Jacket,Soft Cover,Mystery,0425145301,1994,NULL,337,NULL
"Scottoline, Lisa",Final Appeall,Harper Paperbacks,Fair,No Jacket,Soft Cover,Mystery,61042943,1994,1,336,NULL
"Sebestyien, Ouida",Out of Nowhere,"Scholastic, Inc.",Poor,No Jacket,Soft Cover,Novel,590605143,1994,NULL,183,NULL
"Shakur, Sanyika",Monster,Grove Press,Very Good,No Jacket,Soft Cover,Autobiography,14014,1994,NULL,383,NULL
"Shaw, Rebecca",The New Rector,Orion,Good,No Jacket,Soft Cover,Novel,752827502,1994,NULL,264,NULL
"Sheldon, Sidney",Nothing Lasts Forever,Warner Books,Good,No Jacket,Soft Cover,Mystery,0466354732,1994,NULL,384,NULL
"Sheldon, Sidney",Nothing Lasts Forever,William Morrow,As New,Fine,Hard Cover,Novel,688084915,1994,NULL,398,NULL
"Smith, Barbara Burnett",Writers of the Purple Sage,St. Martins Press,As New,As New,Hard Cover,Mystery,312113528,1994,1,250,NULL
"Stevenson, Robert Louis",Treasure Island and The Call of the Wild,Puffin Books,Poor,No Jacket,Soft Cover,Education,0142301698,1994,NULL,134,NULL
"Van De Wetering, Janwillem",Just a Corpse at Twilight,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1994,NULL,NULL,NULL
"Weiner, Eric",Clue: Midnight Phone Calls,"Scholastic, Inc.",NULL,No Jacket,Soft Cover,Chap Book,0590478044,1994,NULL,94,NULL
"Weyn, Suzanne",Traceys Toogh Choice,Troll Associates,As New,No Jacket,Soft Cover,Ficton,NULL,1994,NULL,127,NULL
"Whitney, Phylis A.",Daughter of the Stars,Crown Publishers,As New,As New,Hard Cover,Novel,517599295,1994,NULL,220,NULL
"Wilcox, Collin",Full Circle,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1994,NULL,NULL,NULL
"Zweibel, Alan","Bunny, Bunny, Gilda Radner, A Sort of Love Story",Villard Books,Very Good,Fair,Hard Cover,Humor,679430857,1994,NULL,189,NULL
" Clark, Mary Higgens",Silent Night,Pocket Star Book,Very Good,No Jacket,Soft Cover,Mystery,067100042,1995,NULL,176,NULL
"Alborough, Jez",Cuddly Dudley,Candlewick Books,Very Good,No Jacket,Soft Cover,Childs Book,1564025055,1995,NULL,NULL,NULL
"Bailey, Ronald",The True State of the Planet,The Free Press,Very Good,No Jacket,Soft Cover,Historical,0028740106,1995,NULL,471,NULL
"Barnard, Robert",The Bad Samaritan,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1995,NULL,NULL,NULL
"Brown, Sandra",The Witness,Warner Books,As New,Fine,Hard Cover,Mystery,446516317,1995,1,422,NULL
"Buening, Alice & Martin, Christine",Childrens Writers & Illustrators Market,Writers Digest Books,Very Good,No Jacket,Soft Cover,Education,898796792,1995,NULL,378,NULL
"Burke, Jan",Dear Irene,Pocket Books,As New,No Jacket,Soft Cover,Mystery,0743444493,1995,NULL,308,NULL
"Butler, Gwendoline",A Dark Coffin,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1995,NULL,NULL,NULL
Canfield & Hansen,A 2nd Helping of Chicken Soup for The Soul,Health Communications,Poor,No Jacket,Soft Cover,Health,1558743316,1995,NULL,329,NULL
Canfield & Hansen,A Second Helping of Chicken,Health Communications,Very Good,No Jacket,Soft Cover,Health,1558743316,1995,NULL,329,NULL
"Carter, Chris",The X Files Ground Zero,Harper Prism,Good,No Jacket,Soft Cover,Science Fiction,61056774,1995,NULL,438,NULL
"Chrichton, Michael",The Lost World,Alfred A. Knoff,As New,Fine,Hard Cover,Novel,679419462,1995,NULL,393,NULL
"Christopher, Matt",Double Play at Short,"Little, Brown & Co.",Very Good,Very Good,Hard Cover,Sports,0316142670,1995,NULL,151,NULL
"Churchill, Jill",From Here to Paternity,Avon Books,As New,No Jacket,Soft Cover,Mystery,380777150,1995,NULL,246,NULL
"Clancy, Tom",Fighter Wing,Berkley Books,Very Good,No Jacket,Soft Cover,Historical,425149579,1995,NULL,331,NULL
"Clark, Mary Higgens",Silent Night,Pocket Books,Very Good,No Jacket,Soft Cover,Mystery,067100042,1995,NULL,177,NULL
"Clark, Mary Higgins",Let Me Call You Sweetheart,Simon & Schuster,As New,Fine,Hard Cover,Mystery,684803968,1995,NULL,317,NULL
"Clark, Mary Higgins",Let Me Call You Sweetheart,Pocket Books,Very Good,No Jacket,Soft Cover,Mystery,671568175,1995,NULL,308,NULL
"Clark, Rod",More About Rain and Life,Graffix Natwicks,Poor,No Jacket,Soft Cover,Poetry,NULL,1995,NULL,97,NULL
"Coben, Harlan",Deal Breaker,Dell,As New,No Jacket,Soft Cover,Novel,440220440,1995,NULL,343,NULL
"Connelly, Michael",The Last Coyote,St. Martins Press,As New,No Jacket,Soft Cover,Mystery,312958455,1995,NULL,406,NULL
"Connelly, Michael",The Last Coyote,Grand Central Pub,Very Good,No Jacket,Soft Cover,Mystery,14014,1995,NULL,495,NULL
"Conroy, Pat",Beach Music,Bantam Books,Very Good,No Jacket,Soft Cover,Mystery,553574574,1995,NULL,800,NULL
"Conroy, Pat",Beach Music,Bantam Books,Fair,No Jacket,Soft Cover,Novel,553574574,1995,NULL,800,NULL
"Cornwell, Patricia",From Potters Field,Berklely Books,As New,No Jacket,Soft Cover,Mystery,425154092,1995,NULL,369,NULL
"Cornwell, Patricia",From Potters Field,Berkley Books,Fair,No Jacket,Soft Cover,Mystery,0425154092,1995,NULL,352,NULL
"Coulter, Catherine",The Valentine Legacy,Jove Books,Good,No Jacket,Soft Cover,Novel,515118362,1995,NULL,406,NULL
"Cussler, Clive",Inca Gold,Pocket Books,Very Good,No Jacket,Soft Cover,Novel,671519816,1995,NULL,577,NULL
"Daheim, Mary","Murder, My Suite",Aven Books,Very Good,No Jacket,Soft Cover,Mystery,380778777,1995,NULL,261,NULL
"Daheim, Mary",The Alpine Escape,Ballantine Books,Very Good,No Jacket,Soft Cover,Mystery,345388429,1995,NULL,281,NULL
"Daheim, Mary",The Alpine Fury,Ballantine Books,Very Good,No Jacket,Soft Cover,Mystery,345388437,1995,NULL,312,NULL
"Deaver, Jeffery",A Maidens Grave,Signet,Very Good,No Jacket,Soft Cover,Mystery,97812,1995,NULL,419,NULL
"Deaver, Jeffery",A Maidens Grave,Signet,Good,No Jacket,Soft Cover,Mystery,97812,1995,NULL,419,NULL
"Deaver, Jeffery",A Maidens Grave,A Signet Book,Very Good,No Jacket,Soft Cover,Mystery,97812,1995,NULL,419,NULL
"Diehl, William",Show of Evil,Ballantine Books,Fair,No Jacket,Soft Cover,Mystery,034537536,1995,NULL,402,NULL
"Dobyns, Stephen",Saratoga Fleshpot,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1995,NULL,NULL,NULL
"Doherty, P. C.",Satans Fire,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1995,NULL,NULL,NULL
"Doherty, P. C. Wiritng as Ann Dukthas",The Prince Lost to Time,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1995,NULL,NULL,NULL
"Duquin, Lorene Hanley",They Called Her the Baroness,Alba House,Very Good,Good,Hard Cover,Biography,818907533,1995,NULL,312,NULL
"Edwards, Patrick",John Paul II,Crescent Books,Very Good,As New,Hard Cover,Historical,517121875,1995,NULL,80,NULL
"Edwards, T. J.",The Mystery of the Stolen Football,"Scholastic, Inc.",Fair,No Jacket,Soft Cover,Childs Book,590484540,1995,1,122,NULL
"Evans, Nicholas",The Horse Whisperer,A Dell Book,Fair,No Jacket,Soft Cover,Novel,440222656,1995,NULL,451,NULL
"Evans, Nicholas",The Horse Whisperer,A Dell Book,Very Good,No Jacket,Soft Cover,Novel,440222656,1995,NULL,451,NULL
"Ferrars, E. X.",A Hobby of Murder,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1995,NULL,NULL,NULL
"Fortisevn, Zeke",Global Herb Manual,Global Health Ltd.,As New,No Jacket,Soft Cover,Health,921202024,1995,NULL,64,NULL
"Frank, Anne",Tales from the Secret Annex,Bantam Books,Very Good,No Jacket,Soft Cover,Novel,055356983,1995,NULL,NULL,NULL
"Geddes, Anne",The Twelve Days of Christmas,Cedco Publishing Col,Fine,No Jacket,Hard Cover,Childs Book,1559120037,1995,NULL,NULL,NULL
"Gilman, Dorothy","Mrs. Polifax, Pursued",Fawcett Books,As New,Fine,Hard Cover,Mystery,449909549,1995,NULL,198,NULL
"Gilmore, Robert",Alice in Quantumland,Copernicus,As New,As New,Hard Cover,Fiction,387914951,1995,NULL,184,NULL
"Ginrich, Newt",To Renew America,Harper Collins,As New,As New,Hard Cover,Historical,006017336,1995,1,260,NULL
"Glass, Leslie",Hanging Time,Bantam Book,As New,Very Good,Hard Cover,Mystery,553097121,1995,NULL,371,NULL
"Grafton, Sue","K"" is for Killer""",Random House,Fair,No Jacket,Soft Cover,Mystery,0449221504,1995,NULL,NULL,NULL
"Grafton, Sue",L is for Lawless,Fawcett Books,As New,No Jacket,Soft Cover,Mystery,449221490,1995,NULL,322,NULL
"Grafton, Sue",L is for Lawless,Ballantine Books,As New,No Jacket,Soft Cover,Mystery,0449221490,1995,NULL,322,NULL
"Green, George Dawes",The Juror,Warner Books,Very Good,No Jacket,Soft Cover,Novel,446602698,1995,NULL,442,NULL
"Grisham, John",The Rainmaker,Island Books,Fine,No Jacket,Soft Cover,Mystery,044022165,1995,NULL,598,NULL
"Guterson, David",Snow Falling on Cedars,Vintage Books,Very Good,No Jacket,Soft Cover,Novel,067976402,1995,NULL,460,NULL
"Haddam, Jane",Fountain of Death,Bantam Books,Fair,No Jacket,Soft Cover,Mystery,553564498,1995,NULL,323,NULL
"Hall, Parnell",Movie,Warner Books,As New,Very Good,Hard Cover,Mystery,089296569,1995,1,280,NULL
"Hatcher, Robin Lee",Liberty Blue,Harper Paperbacks,Very Good,No Jacket,Soft Cover,Romance,61083895,1995,NULL,304,NULL
"Higgins Clark, Mary",Let Me Call You Sweetheart,Pocket Books,Good,No Jacket,Soft Cover,Mystery,671568175,1995,NULL,308,NULL
"Hilllerman, Tony",Finding Moon,Harper Collins,As New,Very Good,Hard Cover,Mystery,60177721,1995,1,319,NULL
"Ivker, D.O., Robert",Sinus Survival,G. P. Putnams Sons,Very Good,No Jacket,Soft Cover,Health,874778077,1995,NULL,342,NULL
